"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"< 1 year"	"0"	393	64588	608.5
	"2018"	"2018"	"1 year"	"1"	26	66035	39.4
	"2018"	"2018"	"2 years"	"2"	11	67476	Unreliable
	"2018"	"2018"	"3 years"	"3"	19	68242	Unreliable
	"2018"	"2018"	"10 years"	"10"	12	73425	Unreliable
	"2018"	"2018"	"12 years"	"12"	12	73851	Unreliable
	"2018"	"2018"	"13 years"	"13"	13	73481	Unreliable
	"2018"	"2018"	"14 years"	"14"	15	74364	Unreliable
	"2018"	"2018"	"15 years"	"15"	28	73762	38.0
	"2018"	"2018"	"16 years"	"16"	23	73592	31.3
	"2018"	"2018"	"17 years"	"17"	22	75220	29.2
	"2018"	"2018"	"18 years"	"18"	43	76495	56.2
	"2018"	"2018"	"19 years"	"19"	42	79349	52.9
	"2018"	"2018"	"20 years"	"20"	35	79447	44.1
	"2018"	"2018"	"21 years"	"21"	66	79541	83.0
	"2018"	"2018"	"22 years"	"22"	65	79822	81.4
	"2018"	"2018"	"23 years"	"23"	77	78785	97.7
	"2018"	"2018"	"24 years"	"24"	60	78326	76.6
	"2018"	"2018"	"25 years"	"25"	88	78213	112.5
	"2018"	"2018"	"26 years"	"26"	92	77837	118.2
	"2018"	"2018"	"27 years"	"27"	88	74229	118.6
	"2018"	"2018"	"28 years"	"28"	102	73357	139.0
	"2018"	"2018"	"29 years"	"29"	88	70799	124.3
	"2018"	"2018"	"30 years"	"30"	92	70131	131.2
	"2018"	"2018"	"31 years"	"31"	93	70920	131.1
	"2018"	"2018"	"32 years"	"32"	105	73018	143.8
	"2018"	"2018"	"33 years"	"33"	120	75719	158.5
	"2018"	"2018"	"34 years"	"34"	105	73154	143.5
	"2018"	"2018"	"35 years"	"35"	110	74686	147.3
	"2018"	"2018"	"36 years"	"36"	100	75056	133.2
	"2018"	"2018"	"37 years"	"37"	117	74626	156.8
	"2018"	"2018"	"38 years"	"38"	127	76114	166.9
	"2018"	"2018"	"39 years"	"39"	116	71315	162.7
	"2018"	"2018"	"40 years"	"40"	110	68952	159.5
	"2018"	"2018"	"41 years"	"41"	114	68005	167.6
	"2018"	"2018"	"42 years"	"42"	117	65082	179.8
	"2018"	"2018"	"43 years"	"43"	126	67018	188.0
	"2018"	"2018"	"44 years"	"44"	130	63862	203.6
	"2018"	"2018"	"45 years"	"45"	136	64491	210.9
	"2018"	"2018"	"46 years"	"46"	166	67819	244.8
	"2018"	"2018"	"47 years"	"47"	216	73593	293.5
	"2018"	"2018"	"48 years"	"48"	246	74633	329.6
	"2018"	"2018"	"49 years"	"49"	241	71808	335.6
	"2018"	"2018"	"50 years"	"50"	221	71618	308.6
	"2018"	"2018"	"51 years"	"51"	254	73864	343.9
	"2018"	"2018"	"52 years"	"52"	343	76032	451.1
	"2018"	"2018"	"53 years"	"53"	364	80731	450.9
	"2018"	"2018"	"54 years"	"54"	364	82968	438.7
	"2018"	"2018"	"55 years"	"55"	439	83793	523.9
	"2018"	"2018"	"56 years"	"56"	504	84556	596.1
	"2018"	"2018"	"57 years"	"57"	474	86779	546.2
	"2018"	"2018"	"58 years"	"58"	621	86467	718.2
	"2018"	"2018"	"59 years"	"59"	627	84162	745.0
	"2018"	"2018"	"60 years"	"60"	651	83010	784.2
	"2018"	"2018"	"61 years"	"61"	674	81624	825.7
	"2018"	"2018"	"62 years"	"62"	704	78042	902.1
	"2018"	"2018"	"63 years"	"63"	757	77539	976.3
	"2018"	"2018"	"64 years"	"64"	803	74605	1076.3
	"2018"	"2018"	"65 years"	"65"	846	71158	1188.9
	"2018"	"2018"	"66 years"	"66"	860	69110	1244.4
	"2018"	"2018"	"67 years"	"67"	818	65725	1244.6
	"2018"	"2018"	"68 years"	"68"	854	63007	1355.4
	"2018"	"2018"	"69 years"	"69"	946	60181	1571.9
	"2018"	"2018"	"70 years"	"70"	1032	57974	1780.1
	"2018"	"2018"	"71 years"	"71"	1131	59073	1914.6
	"2018"	"2018"	"72 years"	"72"	948	42756	2217.2
	"2018"	"2018"	"73 years"	"73"	974	41840	2327.9
	"2018"	"2018"	"74 years"	"74"	1082	40799	2652.0
	"2018"	"2018"	"75 years"	"75"	1172	41904	2796.9
	"2018"	"2018"	"76 years"	"76"	1205	36357	3314.4
	"2018"	"2018"	"77 years"	"77"	1102	32399	3401.3
	"2018"	"2018"	"78 years"	"78"	1134	29808	3804.3
	"2018"	"2018"	"79 years"	"79"	1236	28652	4313.8
	"2018"	"2018"	"80 years"	"80"	1368	27108	5046.5
	"2018"	"2018"	"81 years"	"81"	1338	24873	5379.3
	"2018"	"2018"	"82 years"	"82"	1390	23338	5956.0
	"2018"	"2018"	"83 years"	"83"	1448	21863	6623.1
	"2018"	"2018"	"84 years"	"84"	1497	18912	7915.6
	"2018"	"2018"	"85 years"	"85"	1562	Not Applicable	Not Applicable
	"2018"	"2018"	"86 years"	"86"	1595	Not Applicable	Not Applicable
	"2018"	"2018"	"87 years"	"87"	1698	Not Applicable	Not Applicable
	"2018"	"2018"	"88 years"	"88"	1768	Not Applicable	Not Applicable
	"2018"	"2018"	"89 years"	"89"	1654	Not Applicable	Not Applicable
	"2018"	"2018"	"90 years"	"90"	1615	Not Applicable	Not Applicable
	"2018"	"2018"	"91 years"	"91"	1555	Not Applicable	Not Applicable
	"2018"	"2018"	"92 years"	"92"	1449	Not Applicable	Not Applicable
	"2018"	"2018"	"93 years"	"93"	1338	Not Applicable	Not Applicable
	"2018"	"2018"	"94 years"	"94"	1112	Not Applicable	Not Applicable
	"2018"	"2018"	"95 years"	"95"	1022	Not Applicable	Not Applicable
	"2018"	"2018"	"96 years"	"96"	789	Not Applicable	Not Applicable
	"2018"	"2018"	"97 years"	"97"	685	Not Applicable	Not Applicable
	"2018"	"2018"	"98 years"	"98"	462	Not Applicable	Not Applicable
	"2018"	"2018"	"99 years"	"99"	345	Not Applicable	Not Applicable
	"2018"	"2018"	"100+ years"	"100"	703	Not Applicable	Not Applicable
	"2018"	"2018"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2019"	"2019"	"< 1 year"	"0"	371	63366	585.5
	"2019"	"2019"	"1 year"	"1"	24	64258	37.3
	"2019"	"2019"	"2 years"	"2"	17	66589	Unreliable
	"2019"	"2019"	"3 years"	"3"	14	67711	Unreliable
	"2019"	"2019"	"4 years"	"4"	16	68572	Unreliable
	"2019"	"2019"	"5 years"	"5"	11	68237	Unreliable
	"2019"	"2019"	"8 years"	"8"	10	69473	Unreliable
	"2019"	"2019"	"11 years"	"11"	11	73463	Unreliable
	"2019"	"2019"	"12 years"	"12"	10	74291	Unreliable
	"2019"	"2019"	"13 years"	"13"	11	73861	Unreliable
	"2019"	"2019"	"14 years"	"14"	15	73733	Unreliable
	"2019"	"2019"	"15 years"	"15"	19	74505	Unreliable
	"2019"	"2019"	"16 years"	"16"	21	73798	28.5
	"2019"	"2019"	"17 years"	"17"	33	73767	44.7
	"2019"	"2019"	"18 years"	"18"	48	75268	63.8
	"2019"	"2019"	"19 years"	"19"	42	80230	52.3
	"2019"	"2019"	"20 years"	"20"	39	79368	49.1
	"2019"	"2019"	"21 years"	"21"	55	78967	69.6
	"2019"	"2019"	"22 years"	"22"	61	79323	76.9
	"2019"	"2019"	"23 years"	"23"	66	77311	85.4
	"2019"	"2019"	"24 years"	"24"	72	75603	95.2
	"2019"	"2019"	"25 years"	"25"	75	76880	97.6
	"2019"	"2019"	"26 years"	"26"	76	77519	98.0
	"2019"	"2019"	"27 years"	"27"	84	77243	108.7
	"2019"	"2019"	"28 years"	"28"	71	74449	95.4
	"2019"	"2019"	"29 years"	"29"	90	73553	122.4
	"2019"	"2019"	"30 years"	"30"	93	71011	131.0
	"2019"	"2019"	"31 years"	"31"	83	70365	118.0
	"2019"	"2019"	"32 years"	"32"	85	71108	119.5
	"2019"	"2019"	"33 years"	"33"	112	73093	153.2
	"2019"	"2019"	"34 years"	"34"	96	76001	126.3
	"2019"	"2019"	"35 years"	"35"	104	73311	141.9
	"2019"	"2019"	"36 years"	"36"	123	74769	164.5
	"2019"	"2019"	"37 years"	"37"	112	74909	149.5
	"2019"	"2019"	"38 years"	"38"	138	74491	185.3
	"2019"	"2019"	"39 years"	"39"	132	76021	173.6
	"2019"	"2019"	"40 years"	"40"	116	71099	163.2
	"2019"	"2019"	"41 years"	"41"	153	68939	221.9
	"2019"	"2019"	"42 years"	"42"	125	67799	184.4
	"2019"	"2019"	"43 years"	"43"	138	64903	212.6
	"2019"	"2019"	"44 years"	"44"	140	66834	209.5
	"2019"	"2019"	"45 years"	"45"	177	63701	277.9
	"2019"	"2019"	"46 years"	"46"	167	64177	260.2
	"2019"	"2019"	"47 years"	"47"	167	67524	247.3
	"2019"	"2019"	"48 years"	"48"	247	73233	337.3
	"2019"	"2019"	"49 years"	"49"	218	74349	293.2
	"2019"	"2019"	"50 years"	"50"	255	71532	356.5
	"2019"	"2019"	"51 years"	"51"	254	71284	356.3
	"2019"	"2019"	"52 years"	"52"	309	73340	421.3
	"2019"	"2019"	"53 years"	"53"	393	75736	518.9
	"2019"	"2019"	"54 years"	"54"	367	80333	456.8
	"2019"	"2019"	"55 years"	"55"	446	82542	540.3
	"2019"	"2019"	"56 years"	"56"	435	83360	521.8
	"2019"	"2019"	"57 years"	"57"	513	84079	610.1
	"2019"	"2019"	"58 years"	"58"	589	86440	681.4
	"2019"	"2019"	"59 years"	"59"	640	85819	745.8
	"2019"	"2019"	"60 years"	"60"	666	83435	798.2
	"2019"	"2019"	"61 years"	"61"	730	82429	885.6
	"2019"	"2019"	"62 years"	"62"	757	80863	936.2
	"2019"	"2019"	"63 years"	"63"	767	77233	993.1
	"2019"	"2019"	"64 years"	"64"	772	76818	1005.0
	"2019"	"2019"	"65 years"	"65"	816	73725	1106.8
	"2019"	"2019"	"66 years"	"66"	910	70136	1297.5
	"2019"	"2019"	"67 years"	"67"	891	68089	1308.6
	"2019"	"2019"	"68 years"	"68"	912	64851	1406.3
