"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",541,340014,159.1
,"Alabama","01","2019","2019",498,338138,147.3
,"Alabama","01","2020","2020",578,331899,174.1
,"Alabama","01","2021","2021",728,324499,224.3
,"Alabama","01","2022 (provisional)","2022",631,324499,194.5
,"Alabama","01","2023 (provisional and partial)","2023",152,324499,46.8
"Total","Alabama","01",,,3128,1983548,157.7
,"Alaska","02","2018","2018",87,61672,141.1
,"Alaska","02","2019","2019",110,60427,182.0
,"Alaska","02","2020","2020",99,58506,169.2
,"Alaska","02","2021","2021",126,55564,226.8
,"Alaska","02","2022 (provisional)","2022",99,55564,178.2
,"Alaska","02","2023 (provisional and partial)","2023",17,55564,Unreliable
"Total","Alaska","02",,,538,347297,154.9
,"Arizona","04","2018","2018",706,517980,136.3
,"Arizona","04","2019","2019",726,525879,138.1
,"Arizona","04","2020","2020",910,529789,171.8
,"Arizona","04","2021","2021",1017,502670,202.3
,"Arizona","04","2022 (provisional)","2022",839,502670,166.9
,"Arizona","04","2023 (provisional and partial)","2023",246,502670,48.9
"Total","Arizona","04",,,4444,3081658,144.2
,"Arkansas","05","2018","2018",276,206497,133.7
,"Arkansas","05","2019","2019",236,205499,114.8
,"Arkansas","05","2020","2020",335,202805,165.2
,"Arkansas","05","2021","2021",399,194850,204.8
,"Arkansas","05","2022 (provisional)","2022",293,194850,150.4
,"Arkansas","05","2023 (provisional and partial)","2023",78,194850,40.0
"Total","Arkansas","05",,,1617,1199351,134.8
,"California","06","2018","2018",2511,3125816,80.3
,"California","06","2019","2019",2652,3094978,85.7
,"California","06","2020","2020",3377,3011714,112.1
,"California","06","2021","2021",3762,2835293,132.7
,"California","06","2022 (provisional)","2022",3397,2835293,119.8
,"California","06","2023 (provisional and partial)","2023",889,2835293,31.4
"Total","California","06",,,16588,17738387,93.5
,"Colorado","08","2018","2018",472,453907,104.0
,"Colorado","08","2019","2019",511,461160,110.8
,"Colorado","08","2020","2020",626,461679,135.6
,"Colorado","08","2021","2021",649,444049,146.2
,"Colorado","08","2022 (provisional)","2022",640,444049,144.1
,"Colorado","08","2023 (provisional and partial)","2023",153,444049,34.5
"Total","Colorado","08",,,3051,2708893,112.6
,"Connecticut","09","2018","2018",250,222923,112.1
,"Connecticut","09","2019","2019",257,225457,114.0
,"Connecticut","09","2020","2020",297,225727,131.6
,"Connecticut","09","2021","2021",266,225757,117.8
,"Connecticut","09","2022 (provisional)","2022",271,225757,120.0
,"Connecticut","09","2023 (provisional and partial)","2023",50,225757,22.1
"Total","Connecticut","09",,,1391,1351378,102.9
,"Delaware","10","2018","2018",119,66980,177.7
,"Delaware","10","2019","2019",111,65311,170.0
,"Delaware","10","2020","2020",97,63991,151.6
,"Delaware","10","2021","2021",102,61373,166.2
,"Delaware","10","2022 (provisional)","2022",102,61373,166.2
,"Delaware","10","2023 (provisional and partial)","2023",30,61373,48.9
"Total","Delaware","10",,,561,380401,147.5
,"District of Columbia","11","2018","2018",86,83096,103.5
,"District of Columbia","11","2019","2019",72,82514,87.3
,"District of Columbia","11","2020","2020",82,81666,100.4
,"District of Columbia","11","2021","2021",111,70000,158.6
,"District of Columbia","11","2022 (provisional)","2022",73,70000,104.3
,"District of Columbia","11","2023 (provisional and partial)","2023",16,70000,Unreliable
"Total","District of Columbia","11",,,440,457276,96.2
,"Florida","12","2018","2018",1781,1436477,124.0
,"Florida","12","2019","2019",1807,1419816,127.3
,"Florida","12","2020","2020",2120,1395878,151.9
,"Florida","12","2021","2021",2416,1333903,181.1
,"Florida","12","2022 (provisional)","2022",2010,1333903,150.7
,"Florida","12","2023 (provisional and partial)","2023",506,1333903,37.9
"Total","Florida","12",,,10640,8253880,128.9
,"Georgia","13","2018","2018",904,767745,117.7
,"Georgia","13","2019","2019",872,771584,113.0
,"Georgia","13","2020","2020",1093,765892,142.7
,"Georgia","13","2021","2021",1303,740675,175.9
,"Georgia","13","2022 (provisional)","2022",1161,740675,156.7
,"Georgia","13","2023 (provisional and partial)","2023",245,740675,33.1
"Total","Georgia","13",,,5578,4527246,123.2
,"Hawaii","15","2018","2018",90,103977,86.6
,"Hawaii","15","2019","2019",77,101864,75.6
,"Hawaii","15","2020","2020",69,98412,70.1
,"Hawaii","15","2021","2021",92,94435,97.4
,"Hawaii","15","2022 (provisional)","2022",76,94435,80.5
,"Hawaii","15","2023 (provisional and partial)","2023",16,94435,Unreliable
"Total","Hawaii","15",,,420,587558,71.5
,"Idaho","16","2018","2018",122,119176,102.4
,"Idaho","16","2019","2019",109,121631,89.6
,"Idaho","16","2020","2020",127,122723,103.5
,"Idaho","16","2021","2021",175,123798,141.4
,"Idaho","16","2022 (provisional)","2022",159,123798,128.4
,"Idaho","16","2023 (provisional and partial)","2023",39,123798,31.5
"Total","Idaho","16",,,731,734924,99.5
,"Illinois","17","2018","2018",1062,903780,117.5
,"Illinois","17","2019","2019",1003,897230,111.8
,"Illinois","17","2020","2020",1280,882835,145.0
,"Illinois","17","2021","2021",1322,851195,155.3
,"Illinois","17","2022 (provisional)","2022",1127,851195,132.4
,"Illinois","17","2023 (provisional and partial)","2023",305,851195,35.8
"Total","Illinois","17",,,6099,5237430,116.5
,"Indiana","18","2018","2018",640,458859,139.5
,"Indiana","18","2019","2019",644,464458,138.7
,"Indiana","18","2020","2020",836,462908,180.6
,"Indiana","18","2021","2021",844,450441,187.4
