"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",974,665234,146.4
,"Alabama","01","2019","2019",886,660230,134.2
,"Alabama","01","2020","2020",1060,655163,161.8
,"Alabama","01","2021","2021",1235,653630,188.9
,"Alabama","01","2022 (provisional)","2022",1129,653630,172.7
,"Alabama","01","2023 (provisional and partial)","2023",273,653630,41.8
"Total","Alabama","01",,,5557,3941517,141.0
,"Alaska","02","2018","2018",148,114672,129.1
,"Alaska","02","2019","2019",176,111710,157.6
,"Alaska","02","2020","2020",188,109059,172.4
,"Alaska","02","2021","2021",222,105827,209.8
,"Alaska","02","2022 (provisional)","2022",178,105827,168.2
,"Alaska","02","2023 (provisional and partial)","2023",34,105827,32.1
"Total","Alaska","02",,,946,652922,144.9
,"Arizona","04","2018","2018",1271,1010156,125.8
,"Arizona","04","2019","2019",1271,1021361,124.4
,"Arizona","04","2020","2020",1604,1034137,155.1
,"Arizona","04","2021","2021",1761,994561,177.1
,"Arizona","04","2022 (provisional)","2022",1442,994561,145.0
,"Arizona","04","2023 (provisional and partial)","2023",401,994561,40.3
"Total","Arizona","04",,,7750,6049337,128.1
,"Arkansas","05","2018","2018",504,408135,123.5
,"Arkansas","05","2019","2019",490,405786,120.8
,"Arkansas","05","2020","2020",591,404094,146.3
,"Arkansas","05","2021","2021",678,394780,171.7
,"Arkansas","05","2022 (provisional)","2022",566,394780,143.4
,"Arkansas","05","2023 (provisional and partial)","2023",148,394780,37.5
"Total","Arkansas","05",,,2977,2402355,123.9
,"California","06","2018","2018",4458,5837616,76.4
,"California","06","2019","2019",4628,5742257,80.6
,"California","06","2020","2020",5894,5609645,105.1
,"California","06","2021","2021",6331,5374979,117.8
,"California","06","2022 (provisional)","2022",5627,5374979,104.7
,"California","06","2023 (provisional and partial)","2023",1460,5374979,27.2
"Total","California","06",,,28398,33314455,85.2
,"Colorado","08","2018","2018",816,832421,98.0
,"Colorado","08","2019","2019",876,838925,104.4
,"Colorado","08","2020","2020",1070,841948,127.1
,"Colorado","08","2021","2021",1121,822422,136.3
,"Colorado","08","2022 (provisional)","2022",1087,822422,132.2
,"Colorado","08","2023 (provisional and partial)","2023",256,822422,31.1
"Total","Colorado","08",,,5226,4980560,104.9
,"Connecticut","09","2018","2018",431,466039,92.5
,"Connecticut","09","2019","2019",422,465388,90.7
,"Connecticut","09","2020","2020",482,464049,103.9
,"Connecticut","09","2021","2021",465,465198,100.0
,"Connecticut","09","2022 (provisional)","2022",448,465198,96.3
,"Connecticut","09","2023 (provisional and partial)","2023",91,465198,19.6
"Total","Connecticut","09",,,2339,2791070,83.8
,"Delaware","10","2018","2018",180,125329,143.6
,"Delaware","10","2019","2019",166,122465,135.5
,"Delaware","10","2020","2020",178,121534,146.5
,"Delaware","10","2021","2021",176,119280,147.6
,"Delaware","10","2022 (provisional)","2022",177,119280,148.4
,"Delaware","10","2023 (provisional and partial)","2023",52,119280,43.6
"Total","Delaware","10",,,929,727168,127.8
,"District of Columbia","11","2018","2018",138,136020,101.5
,"District of Columbia","11","2019","2019",138,133911,103.1
,"District of Columbia","11","2020","2020",148,132714,111.5
,"District of Columbia","11","2021","2021",167,115630,144.4
,"District of Columbia","11","2022 (provisional)","2022",123,115630,106.4
,"District of Columbia","11","2023 (provisional and partial)","2023",28,115630,24.2
"Total","District of Columbia","11",,,742,749535,99.0
,"Florida","12","2018","2018",3055,2706300,112.9
,"Florida","12","2019","2019",3072,2677938,114.7
,"Florida","12","2020","2020",3564,2659815,134.0
,"Florida","12","2021","2021",3950,2586222,152.7
,"Florida","12","2022 (provisional)","2022",3368,2586222,130.2
,"Florida","12","2023 (provisional and partial)","2023",898,2586222,34.7
"Total","Florida","12",,,17907,15802719,113.3
,"Georgia","13","2018","2018",1598,1484397,107.7
,"Georgia","13","2019","2019",1566,1488964,105.2
,"Georgia","13","2020","2020",1936,1492044,129.8
,"Georgia","13","2021","2021",2268,1470231,154.3
,"Georgia","13","2022 (provisional)","2022",2102,1470231,143.0
,"Georgia","13","2023 (provisional and partial)","2023",449,1470231,30.5
"Total","Georgia","13",,,9919,8876098,111.7
,"Hawaii","15","2018","2018",145,194928,74.4
,"Hawaii","15","2019","2019",127,190514,66.7
,"Hawaii","15","2020","2020",134,185519,72.2
,"Hawaii","15","2021","2021",149,182187,81.8
,"Hawaii","15","2022 (provisional)","2022",130,182187,71.4
