"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999",1634,Not Applicable,Not Applicable
,"Alabama","01","2000","2000",1628,Not Applicable,Not Applicable
,"Alabama","01","2001","2001",1690,Not Applicable,Not Applicable
,"Alabama","01","2002","2002",1751,Not Applicable,Not Applicable
,"Alabama","01","2003","2003",1771,Not Applicable,Not Applicable
,"Alabama","01","2004","2004",1653,Not Applicable,Not Applicable
,"Alabama","01","2005","2005",1700,Not Applicable,Not Applicable
,"Alabama","01","2006","2006",1671,Not Applicable,Not Applicable
,"Alabama","01","2007","2007",1679,Not Applicable,Not Applicable
,"Alabama","01","2008","2008",1839,Not Applicable,Not Applicable
,"Alabama","01","2009","2009",1725,Not Applicable,Not Applicable
,"Alabama","01","2010","2010",1778,Not Applicable,Not Applicable
,"Alabama","01","2011","2011",1921,Not Applicable,Not Applicable
,"Alabama","01","2012","2012",1839,Not Applicable,Not Applicable
,"Alabama","01","2013","2013",1861,Not Applicable,Not Applicable
,"Alabama","01","2014","2014",1838,Not Applicable,Not Applicable
,"Alabama","01","2015","2015",1984,Not Applicable,Not Applicable
,"Alabama","01","2016","2016",2006,Not Applicable,Not Applicable
,"Alabama","01","2017","2017",2104,Not Applicable,Not Applicable
,"Alabama","01","2018","2018",2179,Not Applicable,Not Applicable
,"Alabama","01","2019","2019",2198,Not Applicable,Not Applicable
,"Alabama","01","2020 ","2020",2520,Not Applicable,Not Applicable
"Total","Alabama","01",,,40969,Not Applicable,Not Applicable
,"Alaska","02","1999","1999",32,Not Applicable,Not Applicable
,"Alaska","02","2000","2000",43,Not Applicable,Not Applicable
,"Alaska","02","2001","2001",48,Not Applicable,Not Applicable
,"Alaska","02","2002","2002",58,Not Applicable,Not Applicable
,"Alaska","02","2003","2003",74,Not Applicable,Not Applicable
,"Alaska","02","2004","2004",55,Not Applicable,Not Applicable
,"Alaska","02","2005","2005",53,Not Applicable,Not Applicable
,"Alaska","02","2006","2006",78,Not Applicable,Not Applicable
,"Alaska","02","2007","2007",66,Not Applicable,Not Applicable
,"Alaska","02","2008","2008",72,Not Applicable,Not Applicable
,"Alaska","02","2009","2009",74,Not Applicable,Not Applicable
,"Alaska","02","2010","2010",90,Not Applicable,Not Applicable
,"Alaska","02","2011","2011",97,Not Applicable,Not Applicable
,"Alaska","02","2012","2012",111,Not Applicable,Not Applicable
,"Alaska","02","2013","2013",85,Not Applicable,Not Applicable
,"Alaska","02","2014","2014",98,Not Applicable,Not Applicable
,"Alaska","02","2015","2015",117,Not Applicable,Not Applicable
,"Alaska","02","2016","2016",123,Not Applicable,Not Applicable
,"Alaska","02","2017","2017",121,Not Applicable,Not Applicable
,"Alaska","02","2018","2018",136,Not Applicable,Not Applicable
,"Alaska","02","2019","2019",134,Not Applicable,Not Applicable
,"Alaska","02","2020 ","2020",164,Not Applicable,Not Applicable
"Total","Alaska","02",,,1929,Not Applicable,Not Applicable
,"Arizona","04","1999","1999",1244,Not Applicable,Not Applicable
,"Arizona","04","2000","2000",1344,Not Applicable,Not Applicable
,"Arizona","04","2001","2001",1360,Not Applicable,Not Applicable
,"Arizona","04","2002","2002",1560,Not Applicable,Not Applicable
,"Arizona","04","2003","2003",1676,Not Applicable,Not Applicable
,"Arizona","04","2004","2004",1603,Not Applicable,Not Applicable
,"Arizona","04","2005","2005",1724,Not Applicable,Not Applicable
,"Arizona","04","2006","2006",1726,Not Applicable,Not Applicable
,"Arizona","04","2007","2007",1794,Not Applicable,Not Applicable
,"Arizona","04","2008","2008",1861,Not Applicable,Not Applicable
,"Arizona","04","2009","2009",1849,Not Applicable,Not Applicable
,"Arizona","04","2010","2010",2048,Not Applicable,Not Applicable
,"Arizona","04","2011","2011",2265,Not Applicable,Not Applicable
,"Arizona","04","2012","2012",2246,Not Applicable,Not Applicable
,"Arizona","04","2013","2013",2375,Not Applicable,Not Applicable
,"Arizona","04","2014","2014",2366,Not Applicable,Not Applicable
,"Arizona","04","2015","2015",2756,Not Applicable,Not Applicable
,"Arizona","04","2016","2016",2776,Not Applicable,Not Applicable
,"Arizona","04","2017","2017",3072,Not Applicable,Not Applicable
,"Arizona","04","2018","2018",3153,Not Applicable,Not Applicable
,"Arizona","04","2019","2019",3223,Not Applicable,Not Applicable
,"Arizona","04","2020 ","2020",3812,Not Applicable,Not Applicable
"Total","Arizona","04",,,47833,Not Applicable,Not Applicable
,"Arkansas","05","1999","1999",1124,Not Applicable,Not Applicable
,"Arkansas","05","2000","2000",1136,Not Applicable,Not Applicable
,"Arkansas","05","2001","2001",1088,Not Applicable,Not Applicable
,"Arkansas","05","2002","2002",1198,Not Applicable,Not Applicable
,"Arkansas","05","2003","2003",1202,Not Applicable,Not Applicable
,"Arkansas","05","2004","2004",1145,Not Applicable,Not Applicable
,"Arkansas","05","2005","2005",1212,Not Applicable,Not Applicable
,"Arkansas","05","2006","2006",1182,Not Applicable,Not Applicable
,"Arkansas","05","2007","2007",1246,Not Applicable,Not Applicable
,"Arkansas","05","2008","2008",1236,Not Applicable,Not Applicable
,"Arkansas","05","2009","2009",1166,Not Applicable,Not Applicable
,"Arkansas","05","2010","2010",1297,Not Applicable,Not Applicable
,"Arkansas","05","2011","2011",1337,Not Applicable,Not Applicable
,"Arkansas","05","2012","2012",1323,Not Applicable,Not Applicable
,"Arkansas","05","2013","2013",1306,Not Applicable,Not Applicable
,"Arkansas","05","2014","2014",1286,Not Applicable,Not Applicable
,"Arkansas","05","2015","2015",1320,Not Applicable,Not Applicable
,"Arkansas","05","2016","2016",1405,Not Applicable,Not Applicable
,"Arkansas","05","2017","2017",1403,Not Applicable,Not Applicable
,"Arkansas","05","2018","2018",1423,Not Applicable,Not Applicable
,"Arkansas","05","2019","2019",1502,Not Applicable,Not Applicable
,"Arkansas","05","2020 ","2020",1753,Not Applicable,Not Applicable
"Total","Arkansas","05",,,28290,Not Applicable,Not Applicable
,"California","06","1999","1999",9839,Not Applicable,Not Applicable
,"California","06","2000","2000",9877,Not Applicable,Not Applicable
,"California","06","2001","2001",10010,Not Applicable,Not Applicable
,"California","06","2002","2002",10046,Not Applicable,Not Applicable
,"California","06","2003","2003",10659,Not Applicable,Not Applicable
,"California","06","2004","2004",10484,Not Applicable,Not Applicable
,"California","06","2005","2005",11055,Not Applicable,Not Applicable
,"California","06","2006","2006",11312,Not Applicable,Not Applicable
,"California","06","2007","2007",11360,Not Applicable,Not Applicable
,"California","06","2008","2008",12023,Not Applicable,Not Applicable
,"California","06","2009","2009",12148,Not Applicable,Not Applicable
,"California","06","2010","2010",12892,Not Applicable,Not Applicable
,"California","06","2011","2011",13681,Not Applicable,Not Applicable
,"California","06","2012","2012",14056,Not Applicable,Not Applicable
,"California","06","2013","2013",15084,Not Applicable,Not Applicable
,"California","06","2014","2014",15140,Not Applicable,Not Applicable
,"California","06","2015","2015",16887,Not Applicable,Not Applicable
,"California","06","2016","2016",17839,Not Applicable,Not Applicable
,"California","06","2017","2017",19449,Not Applicable,Not Applicable
,"California","06","2018","2018",19890,Not Applicable,Not Applicable
,"California","06","2019","2019",20319,Not Applicable,Not Applicable
,"California","06","2020 ","2020",23340,Not Applicable,Not Applicable
"Total","California","06",,,307390,Not Applicable,Not Applicable
,"Colorado","08","1999","1999",1173,Not Applicable,Not Applicable
,"Colorado","08","2000","2000",1170,Not Applicable,Not Applicable
,"Colorado","08","2001","2001",1288,Not Applicable,Not Applicable
,"Colorado","08","2002","2002",1311,Not Applicable,Not Applicable
,"Colorado","08","2003","2003",1325,Not Applicable,Not Applicable
,"Colorado","08","2004","2004",1210,Not Applicable,Not Applicable
,"Colorado","08","2005","2005",1336,Not Applicable,Not Applicable
,"Colorado","08","2006","2006",1339,Not Applicable,Not Applicable
,"Colorado","08","2007","2007",1374,Not Applicable,Not Applicable
,"Colorado","08","2008","2008",1485,Not Applicable,Not Applicable
,"Colorado","08","2009","2009",1432,Not Applicable,Not Applicable
,"Colorado","08","2010","2010",1537,Not Applicable,Not Applicable
,"Colorado","08","2011","2011",1653,Not Applicable,Not Applicable
,"Colorado","08","2012","2012",1761,Not Applicable,Not Applicable
,"Colorado","08","2013","2013",1819,Not Applicable,Not Applicable
,"Colorado","08","2014","2014",1825,Not Applicable,Not Applicable
,"Colorado","08","2015","2015",2042,Not Applicable,Not Applicable
,"Colorado","08","2016","2016",2142,Not Applicable,Not Applicable
,"Colorado","08","2017","2017",2216,Not Applicable,Not Applicable
