"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999",1392,309892,449.2
,"Alabama","01","2000","2000",1451,315173,460.4
,"Alabama","01","2001","2001",1484,323347,458.9
,"Alabama","01","2002","2002",1600,330998,483.4
,"Alabama","01","2003","2003",1661,337237,492.5
,"Alabama","01","2004","2004",1634,340768,479.5
,"Alabama","01","2005","2005",1688,344392,490.1
,"Alabama","01","2006","2006",1718,348601,492.8
,"Alabama","01","2007","2007",1685,348251,483.8
,"Alabama","01","2008","2008",1823,348148,523.6
,"Alabama","01","2009","2009",1647,348256,472.9
,"Alabama","01","2010","2010",1579,346369,455.9
,"Alabama","01","2011","2011",1577,336400,468.8
,"Alabama","01","2012","2012",1497,326840,458.0
,"Alabama","01","2013","2013",1615,318601,506.9
,"Alabama","01","2014","2014",1422,311838,456.0
,"Alabama","01","2015","2015",1468,309049,475.0
,"Alabama","01","2016","2016",1449,312055,464.3
,"Alabama","01","2017","2017",1420,313756,452.6
,"Alabama","01","2018","2018",1459,312966,466.2
,"Alabama","01","2019","2019",1419,308951,459.3
,"Alabama","01","2020 ","2020",1688,302481,558.1
"Total","Alabama","01",,,34376,7194369,477.8
,"Alaska","02","1999","1999",148,52540,281.7
,"Alaska","02","2000","2000",174,53515,325.1
,"Alaska","02","2001","2001",176,55123,319.3
,"Alaska","02","2002","2002",218,56694,384.5
,"Alaska","02","2003","2003",190,57305,331.6
,"Alaska","02","2004","2004",211,57556,366.6
,"Alaska","02","2005","2005",189,57484,328.8
,"Alaska","02","2006","2006",181,57566,314.4
,"Alaska","02","2007","2007",201,56561,355.4
,"Alaska","02","2008","2008",176,55716,315.9
,"Alaska","02","2009","2009",191,55898,341.7
,"Alaska","02","2010","2010",198,54726,361.8
,"Alaska","02","2011","2011",178,52770,337.3
,"Alaska","02","2012","2012",195,50421,386.7
,"Alaska","02","2013","2013",163,46828,348.1
,"Alaska","02","2014","2014",176,45232,389.1
,"Alaska","02","2015","2015",169,44322,381.3
,"Alaska","02","2016","2016",147,45276,324.7
,"Alaska","02","2017","2017",174,44497,391.0
,"Alaska","02","2018","2018",150,43558,344.4
,"Alaska","02","2019","2019",131,42303,309.7
,"Alaska","02","2020 ","2020",180,41185,437.1
"Total","Alaska","02",,,3916,1127076,347.4
,"Arizona","04","1999","1999",1218,322567,377.6
,"Arizona","04","2000","2000",1266,331903,381.4
,"Arizona","04","2001","2001",1301,346161,375.8
,"Arizona","04","2002","2002",1451,358936,404.3
,"Arizona","04","2003","2003",1513,371404,407.4
,"Arizona","04","2004","2004",1450,382225,379.4
,"Arizona","04","2005","2005",1511,397557,380.1
,"Arizona","04","2006","2006",1468,411281,356.9
,"Arizona","04","2007","2007",1479,420635,351.6
,"Arizona","04","2008","2008",1480,424958,348.3
,"Arizona","04","2009","2009",1424,428173,332.6
,"Arizona","04","2010","2010",1415,427022,331.4
,"Arizona","04","2011","2011",1411,418934,336.8
,"Arizona","04","2012","2012",1332,411953,323.3
,"Arizona","04","2013","2013",1350,407047,331.7
,"Arizona","04","2014","2014",1323,406922,325.1
,"Arizona","04","2015","2015",1363,412509,330.4
,"Arizona","04","2016","2016",1444,421465,342.6
,"Arizona","04","2017","2017",1429,427684,334.1
,"Arizona","04","2018","2018",1422,432165,329.0
,"Arizona","04","2019","2019",1374,433343,317.1
,"Arizona","04","2020 ","2020",1765,433090,407.5
"Total","Arizona","04",,,31189,8827934,353.3
,"Arkansas","05","1999","1999",761,178341,426.7
,"Arkansas","05","2000","2000",756,181913,415.6
,"Arkansas","05","2001","2001",769,186969,411.3
,"Arkansas","05","2002","2002",838,191230,438.2
,"Arkansas","05","2003","2003",929,194293,478.1
,"Arkansas","05","2004","2004",956,196117,487.5
,"Arkansas","05","2005","2005",892,199102,448.0
,"Arkansas","05","2006","2006",937,202213,463.4
,"Arkansas","05","2007","2007",988,202539,487.8
,"Arkansas","05","2008","2008",978,204422,478.4
,"Arkansas","05","2009","2009",973,206174,471.9
,"Arkansas","05","2010","2010",961,205544,467.5
,"Arkansas","05","2011","2011",928,199722,464.6
,"Arkansas","05","2012","2012",897,193981,462.4
,"Arkansas","05","2013","2013",848,187492,452.3
,"Arkansas","05","2014","2014",848,182402,464.9
,"Arkansas","05","2015","2015",843,181108,465.5
,"Arkansas","05","2016","2016",803,183202,438.3
,"Arkansas","05","2017","2017",852,184419,462.0
,"Arkansas","05","2018","2018",811,184172,440.3
,"Arkansas","05","2019","2019",760,182264,417.0
,"Arkansas","05","2020 ","2020",967,179715,538.1
"Total","Arkansas","05",,,19295,4207334,458.6
,"California","06","1999","1999",7421,2269009,327.1
,"California","06","2000","2000",7314,2331792,313.7
,"California","06","2001","2001",7648,2411423,317.2
,"California","06","2002","2002",7830,2484389,315.2
,"California","06","2003","2003",8136,2546721,319.5
,"California","06","2004","2004",8080,2584689,312.6
,"California","06","2005","2005",8134,2630116,309.3
,"California","06","2006","2006",8217,2658317,309.1
,"California","06","2007","2007",7882,2671568,295.0
,"California","06","2008","2008",7497,2683057,279.4
,"California","06","2009","2009",7597,2702241,281.1
,"California","06","2010","2010",6937,2689819,257.9
,"California","06","2011","2011",6911,2648289,261.0
,"California","06","2012","2012",6656,2612828,254.7
,"California","06","2013","2013",6394,2581439,247.7
,"California","06","2014","2014",6354,2583492,245.9
,"California","06","2015","2015",6298,2603600,241.9
,"California","06","2016","2016",6217,2606256,238.5
,"California","06","2017","2017",6185,2607438,237.2
,"California","06","2018","2018",6098,2568083,237.5
,"California","06","2019","2019",6030,2515419,239.7
,"California","06","2020 ","2020",7471,2452996,304.6
"Total","California","06",,,157307,56442981,278.7
,"Colorado","08","1999","1999",905,327225,276.6
,"Colorado","08","2000","2000",947,334855,282.8
,"Colorado","08","2001","2001",986,346844,284.3
,"Colorado","08","2002","2002",1103,355435,310.3
,"Colorado","08","2003","2003",1054,360576,292.3
,"Colorado","08","2004","2004",1074,363311,295.6
,"Colorado","08","2005","2005",1121,369394,303.5
,"Colorado","08","2006","2006",1053,374525,281.2
,"Colorado","08","2007","2007",1066,376497,283.1
,"Colorado","08","2008","2008",1156,376847,306.8
,"Colorado","08","2009","2009",1102,376321,292.8
,"Colorado","08","2010","2010",1025,371635,275.8
,"Colorado","08","2011","2011",1028,359395,286.0
,"Colorado","08","2012","2012",948,350227,270.7
,"Colorado","08","2013","2013",974,343623,283.5
,"Colorado","08","2014","2014",899,342793,262.3
,"Colorado","08","2015","2015",867,348854,248.5
,"Colorado","08","2016","2016",1007,359972,279.7
,"Colorado","08","2017","2017",998,366386,272.4
,"Colorado","08","2018","2018",962,367581,261.7
,"Colorado","08","2019","2019",960,365235,262.8
,"Colorado","08","2020 ","2020",1156,360321,320.8
"Total","Colorado","08",,,22391,7897852,283.5
,"Connecticut","09","1999","1999",723,246896,292.8
,"Connecticut","09","2000","2000",751,252754,297.1
,"Connecticut","09","2001","2001",774,262459,294.9
,"Connecticut","09","2002","2002",779,270509,288.0
,"Connecticut","09","2003","2003",789,278447,283.4
,"Connecticut","09","2004","2004",826,283749,291.1
,"Connecticut","09","2005","2005",756,288872,261.7
,"Connecticut","09","2006","2006",781,292896,266.6
,"Connecticut","09","2007","2007",818,293852,278.4
,"Connecticut","09","2008","2008",802,292469,274.2
,"Connecticut","09","2009","2009",746,293027,254.6
,"Connecticut","09","2010","2010",733,291272,251.7
,"Connecticut","09","2011","2011",696,284704,244.5
,"Connecticut","09","2012","2012",701,278654,251.6
,"Connecticut","09","2013","2013",632,270295,233.8
,"Connecticut","09","2014","2014",653,262162,249.1
,"Connecticut","09","2015","2015",638,256483,248.7
,"Connecticut","09","2016","2016",611,249599,244.8
,"Connecticut","09","2017","2017",568,243944,232.8
,"Connecticut","09","2018","2018",641,234976,272.8
,"Connecticut","09","2019","2019",569,225494,252.3
,"Connecticut","09","2020 ","2020",713,215492,330.9
"Total","Connecticut","09",,,15700,5869005,267.5
,"Delaware","10","1999","1999",186,53351,348.6
