"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Kansas","20","2018","2018",27537,2911505,945.8
,"Kansas","20","2019","2019",27682,2913314,950.2
,"Kansas","20","2020","2020",32060,2913805,1100.3
,"Kansas","20","2021","2021",32029,2934582,1091.4
,"Kansas","20","2022 (provisional)","2022",31538,2934582,1074.7
,"Kansas","20","2023 (provisional and partial)","2023",9554,2934582,325.6
"Total","Kansas","20",,,160400,17542370,914.4
,"Kentucky","21","2018","2018",48707,4468402,1090.0
,"Kentucky","21","2019","2019",48990,4467673,1096.5
,"Kentucky","21","2020","2020",55880,4477251,1248.1
,"Kentucky","21","2021","2021",60303,4509394,1337.3
,"Kentucky","21","2022 (provisional)","2022",57020,4509394,1264.5
,"Kentucky","21","2023 (provisional and partial)","2023",15895,4509394,352.5
"Total","Kentucky","21",,,286795,26941508,1064.5
,"Louisiana","22","2018","2018",46048,4659978,988.2
,"Louisiana","22","2019","2019",45938,4648794,988.2
,"Louisiana","22","2020","2020",56752,4645318,1221.7
,"Louisiana","22","2021","2021",57533,4624047,1244.2
,"Louisiana","22","2022 (provisional)","2022",52176,4624047,1128.4
,"Louisiana","22","2023 (provisional and partial)","2023",12484,4624047,270.0
"Total","Louisiana","22",,,270931,27826231,973.7
,"Maine","23","2018","2018",14715,1338404,1099.4
,"Maine","23","2019","2019",15065,1344212,1120.7
,"Maine","23","2020","2020",15740,1350141,1165.8
,"Maine","23","2021","2021",17269,1372247,1258.4
,"Maine","23","2022 (provisional)","2022",17363,1372247,1265.3
,"Maine","23","2023 (provisional and partial)","2023",5339,1372247,389.1
"Total","Maine","23",,,85491,8149498,1049.0
,"Maryland","24","2018","2018",50568,6042718,836.8
,"Maryland","24","2019","2019",50800,6045680,840.3
,"Maryland","24","2020","2020",60072,6055802,992.0
,"Maryland","24","2021","2021",58117,6165129,942.7
,"Maryland","24","2022 (provisional)","2022",56439,6165129,915.5
,"Maryland","24","2023 (provisional and partial)","2023",16658,6165129,270.2
"Total","Maryland","24",,,292654,36639587,798.7
,"Massachusetts","25","2018","2018",59152,6902149,857.0
,"Massachusetts","25","2019","2019",58630,6892503,850.6
,"Massachusetts","25","2020","2020",68223,6893574,989.7
,"Massachusetts","25","2021","2021",63115,6984723,903.6
,"Massachusetts","25","2022 (provisional)","2022",63338,6984723,906.8
,"Massachusetts","25","2023 (provisional and partial)","2023",19380,6984723,277.5
"Total","Massachusetts","25",,,331838,41642395,796.9
,"Michigan","26","2018","2018",98903,9995915,989.4
,"Michigan","26","2019","2019",99084,9986857,992.1
,"Michigan","26","2020","2020",117106,9966555,1175.0
,"Michigan","26","2021","2021",117782,10050811,1171.9
