"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
"Total","Aurora County, SD","46003",,,220,Not Applicable,Not Applicable
,"Beadle County, SD","46005","2020 Week 41 ending October 10, 2020","2020/41",10,Not Applicable,Not Applicable
,"Beadle County, SD","46005","2020 Week 46 ending November 14, 2020","2020/46",14,Not Applicable,Not Applicable
"Total","Beadle County, SD","46005",,,960,Not Applicable,Not Applicable
"Total","Bennett County, SD","46007",,,216,Not Applicable,Not Applicable
,"Bon Homme County, SD","46009","2020 Week 45 ending November 07, 2020","2020/45",12,Not Applicable,Not Applicable
"Total","Bon Homme County, SD","46009",,,507,Not Applicable,Not Applicable
,"Brookings County, SD","46011","2020 Week 46 ending November 14, 2020","2020/46",12,Not Applicable,Not Applicable
,"Brookings County, SD","46011","2022 Week 05 ending February 05, 2022 (provisional)","2022/05",11,Not Applicable,Not Applicable
,"Brookings County, SD","46011","2022 Week 06 ending February 12, 2022 (provisional)","2022/06",12,Not Applicable,Not Applicable
"Total","Brookings County, SD","46011",,,1194,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 04 ending January 27, 2018","2018/04",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 05 ending February 03, 2018","2018/05",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 07 ending February 17, 2018","2018/07",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 08 ending February 24, 2018","2018/08",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 09 ending March 03, 2018","2018/09",14,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 14 ending April 07, 2018","2018/14",14,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 28 ending July 14, 2018","2018/28",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 37 ending September 15, 2018","2018/37",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 43 ending October 27, 2018","2018/43",12,Not Applicable,Not Applicable
,"Brown County, SD","46013","2018 Week 49 ending December 08, 2018","2018/49",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2019 Week 01 ending January 05, 2019","2019/01",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2019 Week 20 ending May 18, 2019","2019/20",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2019 Week 38 ending September 21, 2019","2019/38",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2019 Week 45 ending November 09, 2019","2019/45",12,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 01 ending January 04, 2020","2020/01",12,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 03 ending January 18, 2020","2020/03",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 04 ending January 25, 2020","2020/04",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 06 ending February 08, 2020","2020/06",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 11 ending March 14, 2020","2020/11",16,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 12 ending March 21, 2020","2020/12",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 13 ending March 28, 2020","2020/13",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 24 ending June 13, 2020","2020/24",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 32 ending August 08, 2020","2020/32",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 35 ending August 29, 2020","2020/35",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 40 ending October 03, 2020","2020/40",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 44 ending October 31, 2020","2020/44",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 45 ending November 07, 2020","2020/45",13,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 46 ending November 14, 2020","2020/46",19,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 47 ending November 21, 2020","2020/47",13,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 48 ending November 28, 2020","2020/48",13,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 49 ending December 05, 2020","2020/49",17,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 50 ending December 12, 2020","2020/50",22,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 51 ending December 19, 2020","2020/51",18,Not Applicable,Not Applicable
,"Brown County, SD","46013","2020 Week 52 ending December 26, 2020","2020/52",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2021 Week 01 ending January 09, 2021","2021/01",15,Not Applicable,Not Applicable
,"Brown County, SD","46013","2021 Week 04 ending January 30, 2021","2021/04",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2021 Week 05 ending February 06, 2021","2021/05",13,Not Applicable,Not Applicable
,"Brown County, SD","46013","2021 Week 18 ending May 08, 2021","2021/18",10,Not Applicable,Not Applicable
,"Brown County, SD","46013","2021 Week 27 ending July 10, 2021","2021/27",11,Not Applicable,Not Applicable
,"Brown County, SD","46013","2021 Week 46 ending November 20, 2021","2021/46",12,Not Applicable,Not Applicable
,"Brown County, SD","46013","2021 Week 47 ending November 27, 2021","2021/47",13,Not Applicable,Not Applicable
,"Brown County, SD","46013","2021 Week 49 ending December 11, 2021","2021/49",13,Not Applicable,Not Applicable
,"Brown County, SD","46013","2022 Week 08 ending February 26, 2022 (provisional)","2022/08",10,Not Applicable,Not Applicable
