"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"Allegany County, MD","24001","2018 Week 01 ending January 06, 2018","2018/01",16,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 02 ending January 13, 2018","2018/02",21,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 03 ending January 20, 2018","2018/03",15,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 04 ending January 27, 2018","2018/04",27,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 05 ending February 03, 2018","2018/05",20,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 06 ending February 10, 2018","2018/06",25,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 07 ending February 17, 2018","2018/07",19,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 08 ending February 24, 2018","2018/08",18,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 09 ending March 03, 2018","2018/09",15,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 10 ending March 10, 2018","2018/10",14,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 11 ending March 17, 2018","2018/11",16,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 12 ending March 24, 2018","2018/12",16,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 13 ending March 31, 2018","2018/13",16,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 14 ending April 07, 2018","2018/14",19,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 15 ending April 14, 2018","2018/15",23,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 16 ending April 21, 2018","2018/16",15,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 18 ending May 05, 2018","2018/18",15,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 19 ending May 12, 2018","2018/19",22,Not Applicable,Not Applicable
,"Allegany County, MD","24001","2018 Week 20 ending May 19, 2018","2018/20",14,Not Applicable,Not Applicable
