"Notes"	"Residence County"	"Residence County Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Adair County, OK"	"40001"	"2018 Week 09 ending March 03, 2018"	"2018/09"	11	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2018 Week 44 ending November 03, 2018"	"2018/44"	11	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2018 Week 52 ending December 29, 2018"	"2018/52"	10	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2020 Week 29 ending July 18, 2020"	"2020/29"	10	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2020 Week 40 ending October 03, 2020"	"2020/40"	13	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2020 Week 52 ending December 26, 2020"	"2020/52"	13	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2021 Week 01 ending January 09, 2021"	"2021/01"	12	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2021 Week 02 ending January 16, 2021"	"2021/02"	12	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2021 Week 03 ending January 23, 2021"	"2021/03"	14	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2021 Week 30 ending July 31, 2021"	"2021/30"	13	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2021 Week 31 ending August 07, 2021"	"2021/31"	11	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2021 Week 33 ending August 21, 2021"	"2021/33"	11	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2021 Week 35 ending September 04, 2021"	"2021/35"	12	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2021 Week 42 ending October 23, 2021"	"2021/42"	11	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2022 Week 03 ending January 22, 2022 (provisional)"	"2022/03"	12	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2022 Week 04 ending January 29, 2022 (provisional)"	"2022/04"	10	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2022 Week 06 ending February 12, 2022 (provisional)"	"2022/06"	10	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2022 Week 14 ending April 09, 2022 (provisional)"	"2022/14"	10	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2022 Week 46 ending November 19, 2022 (provisional)"	"2022/46"	10	Not Applicable	Not Applicable
	"Adair County, OK"	"40001"	"2023 Week 08 ending February 25, 2023 (provisional)"	"2023/08"	10	Not Applicable	Not Applicable
