"Notes"	"Residence County"	"Residence County Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Adams County, MS"	"28001"	"2018 Week 01 ending January 06, 2018"	"2018/01"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 04 ending January 27, 2018"	"2018/04"	17	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 05 ending February 03, 2018"	"2018/05"	15	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 13 ending March 31, 2018"	"2018/13"	17	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 14 ending April 07, 2018"	"2018/14"	15	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 16 ending April 21, 2018"	"2018/16"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 21 ending May 26, 2018"	"2018/21"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 23 ending June 09, 2018"	"2018/23"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 25 ending June 23, 2018"	"2018/25"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 26 ending June 30, 2018"	"2018/26"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 27 ending July 07, 2018"	"2018/27"	14	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 31 ending August 04, 2018"	"2018/31"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 33 ending August 18, 2018"	"2018/33"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 37 ending September 15, 2018"	"2018/37"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 44 ending November 03, 2018"	"2018/44"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 47 ending November 24, 2018"	"2018/47"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 48 ending December 01, 2018"	"2018/48"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 50 ending December 15, 2018"	"2018/50"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2018 Week 51 ending December 22, 2018"	"2018/51"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 07 ending February 16, 2019"	"2019/07"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 08 ending February 23, 2019"	"2019/08"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 09 ending March 02, 2019"	"2019/09"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 11 ending March 16, 2019"	"2019/11"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 12 ending March 23, 2019"	"2019/12"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 13 ending March 30, 2019"	"2019/13"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 15 ending April 13, 2019"	"2019/15"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 16 ending April 20, 2019"	"2019/16"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 19 ending May 11, 2019"	"2019/19"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 28 ending July 13, 2019"	"2019/28"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 31 ending August 03, 2019"	"2019/31"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 34 ending August 24, 2019"	"2019/34"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 39 ending September 28, 2019"	"2019/39"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 41 ending October 12, 2019"	"2019/41"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 45 ending November 09, 2019"	"2019/45"	14	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 47 ending November 23, 2019"	"2019/47"	15	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 48 ending November 30, 2019"	"2019/48"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 50 ending December 14, 2019"	"2019/50"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2019 Week 51 ending December 21, 2019"	"2019/51"	14	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 05 ending February 01, 2020"	"2020/05"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 06 ending February 08, 2020"	"2020/06"	14	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 07 ending February 15, 2020"	"2020/07"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 08 ending February 22, 2020"	"2020/08"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 10 ending March 07, 2020"	"2020/10"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 12 ending March 21, 2020"	"2020/12"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 14 ending April 04, 2020"	"2020/14"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 16 ending April 18, 2020"	"2020/16"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 18 ending May 02, 2020"	"2020/18"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 19 ending May 09, 2020"	"2020/19"	15	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 20 ending May 16, 2020"	"2020/20"	14	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 25 ending June 20, 2020"	"2020/25"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 26 ending June 27, 2020"	"2020/26"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 27 ending July 04, 2020"	"2020/27"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 29 ending July 18, 2020"	"2020/29"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 30 ending July 25, 2020"	"2020/30"	14	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 33 ending August 15, 2020"	"2020/33"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 34 ending August 22, 2020"	"2020/34"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 36 ending September 05, 2020"	"2020/36"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 38 ending September 19, 2020"	"2020/38"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 39 ending September 26, 2020"	"2020/39"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 40 ending October 03, 2020"	"2020/40"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 42 ending October 17, 2020"	"2020/42"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 44 ending October 31, 2020"	"2020/44"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 47 ending November 21, 2020"	"2020/47"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 50 ending December 12, 2020"	"2020/50"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 51 ending December 19, 2020"	"2020/51"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 52 ending December 26, 2020"	"2020/52"	15	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2020 Week 53 ending January 02, 2021"	"2020/53"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 01 ending January 09, 2021"	"2021/01"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 03 ending January 23, 2021"	"2021/03"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 04 ending January 30, 2021"	"2021/04"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 06 ending February 13, 2021"	"2021/06"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 12 ending March 27, 2021"	"2021/12"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 14 ending April 10, 2021"	"2021/14"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 18 ending May 08, 2021"	"2021/18"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 21 ending May 29, 2021"	"2021/21"	15	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 22 ending June 05, 2021"	"2021/22"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 25 ending June 26, 2021"	"2021/25"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 29 ending July 24, 2021"	"2021/29"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 31 ending August 07, 2021"	"2021/31"	17	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 32 ending August 14, 2021"	"2021/32"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 33 ending August 21, 2021"	"2021/33"	19	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 34 ending August 28, 2021"	"2021/34"	22	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 37 ending September 18, 2021"	"2021/37"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 44 ending November 06, 2021"	"2021/44"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 45 ending November 13, 2021"	"2021/45"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 49 ending December 11, 2021"	"2021/49"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 50 ending December 18, 2021"	"2021/50"	12	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 51 ending December 25, 2021"	"2021/51"	11	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2021 Week 52 ending January 01, 2022"	"2021/52"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2022 Week 02 ending January 15, 2022 (provisional)"	"2022/02"	17	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2022 Week 03 ending January 22, 2022 (provisional)"	"2022/03"	17	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2022 Week 05 ending February 05, 2022 (provisional)"	"2022/05"	10	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2022 Week 07 ending February 19, 2022 (provisional)"	"2022/07"	13	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2022 Week 09 ending March 05, 2022 (provisional)"	"2022/09"	14	Not Applicable	Not Applicable
	"Adams County, MS"	"28001"	"2022 Week 11 ending March 19, 2022 (provisional)"	"2022/11"	12	Not Applicable	Not Applicable
