"Notes","Residence County","Residence County Code","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"Appling County, GA","13001","2019 Week 02 ending January 12, 2019","2019/02",10,Not Applicable,Not Applicable
,"Appling County, GA","13001","2020 Week 18 ending May 02, 2020","2020/18",10,Not Applicable,Not Applicable
,"Appling County, GA","13001","2020 Week 19 ending May 09, 2020","2020/19",11,Not Applicable,Not Applicable
,"Appling County, GA","13001","2021 Week 06 ending February 13, 2021","2021/06",10,Not Applicable,Not Applicable
,"Appling County, GA","13001","2021 Week 36 ending September 11, 2021","2021/36",10,Not Applicable,Not Applicable
,"Appling County, GA","13001","2021 Week 40 ending October 09, 2021","2021/40",13,Not Applicable,Not Applicable
,"Bacon County, GA","13005","2021 Week 36 ending September 11, 2021","2021/36",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 01 ending January 06, 2018","2018/01",14,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 04 ending January 27, 2018","2018/04",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 05 ending February 03, 2018","2018/05",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 07 ending February 17, 2018","2018/07",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 08 ending February 24, 2018","2018/08",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 09 ending March 03, 2018","2018/09",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 11 ending March 17, 2018","2018/11",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 12 ending March 24, 2018","2018/12",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 17 ending April 28, 2018","2018/17",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 18 ending May 05, 2018","2018/18",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 19 ending May 12, 2018","2018/19",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 20 ending May 19, 2018","2018/20",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 23 ending June 09, 2018","2018/23",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 32 ending August 11, 2018","2018/32",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 34 ending August 25, 2018","2018/34",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 35 ending September 01, 2018","2018/35",15,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 40 ending October 06, 2018","2018/40",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 41 ending October 13, 2018","2018/41",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 43 ending October 27, 2018","2018/43",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 44 ending November 03, 2018","2018/44",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 46 ending November 17, 2018","2018/46",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 47 ending November 24, 2018","2018/47",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 49 ending December 08, 2018","2018/49",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 50 ending December 15, 2018","2018/50",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2018 Week 51 ending December 22, 2018","2018/51",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 02 ending January 12, 2019","2019/02",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 08 ending February 23, 2019","2019/08",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 09 ending March 02, 2019","2019/09",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 10 ending March 09, 2019","2019/10",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 14 ending April 06, 2019","2019/14",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 15 ending April 13, 2019","2019/15",14,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 19 ending May 11, 2019","2019/19",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 20 ending May 18, 2019","2019/20",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 21 ending May 25, 2019","2019/21",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 25 ending June 22, 2019","2019/25",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 26 ending June 29, 2019","2019/26",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 28 ending July 13, 2019","2019/28",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 29 ending July 20, 2019","2019/29",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 30 ending July 27, 2019","2019/30",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 33 ending August 17, 2019","2019/33",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 34 ending August 24, 2019","2019/34",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 37 ending September 14, 2019","2019/37",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 40 ending October 05, 2019","2019/40",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 43 ending October 26, 2019","2019/43",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 44 ending November 02, 2019","2019/44",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 50 ending December 14, 2019","2019/50",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2019 Week 51 ending December 21, 2019","2019/51",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 02 ending January 11, 2020","2020/02",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 04 ending January 25, 2020","2020/04",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 12 ending March 21, 2020","2020/12",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 13 ending March 28, 2020","2020/13",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 15 ending April 11, 2020","2020/15",18,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 16 ending April 18, 2020","2020/16",14,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 17 ending April 25, 2020","2020/17",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 18 ending May 02, 2020","2020/18",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 19 ending May 09, 2020","2020/19",10,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 20 ending May 16, 2020","2020/20",17,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 22 ending May 30, 2020","2020/22",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 23 ending June 06, 2020","2020/23",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 24 ending June 13, 2020","2020/24",11,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 29 ending July 18, 2020","2020/29",14,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 30 ending July 25, 2020","2020/30",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 32 ending August 08, 2020","2020/32",13,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 33 ending August 15, 2020","2020/33",12,Not Applicable,Not Applicable
,"Baldwin County, GA","13009","2020 Week 34 ending August 22, 2020","2020/34",10,Not Applicable,Not Applicable
