"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2007"	"2007/01"	"< 1 year"	"0"	2474	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"1 year"	"1"	157	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"2 years"	"2"	104	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"3 years"	"3"	62	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"4 years"	"4"	57	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"5 years"	"5"	53	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"6 years"	"6"	44	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"7 years"	"7"	40	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"8 years"	"8"	28	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"9 years"	"9"	42	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"10 years"	"10"	37	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"11 years"	"11"	38	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"12 years"	"12"	36	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"13 years"	"13"	64	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"14 years"	"14"	75	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"15 years"	"15"	134	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"16 years"	"16"	179	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"17 years"	"17"	236	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"18 years"	"18"	284	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"19 years"	"19"	289	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"20 years"	"20"	291	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"21 years"	"21"	328	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"22 years"	"22"	345	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"23 years"	"23"	362	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"24 years"	"24"	336	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"25 years"	"25"	346	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"26 years"	"26"	353	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"27 years"	"27"	350	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"28 years"	"28"	346	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"29 years"	"29"	344	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"30 years"	"30"	324	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"31 years"	"31"	317	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"32 years"	"32"	377	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"33 years"	"33"	372	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"34 years"	"34"	404	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"35 years"	"35"	464	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"36 years"	"36"	493	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"37 years"	"37"	543	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"38 years"	"38"	597	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"39 years"	"39"	531	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"40 years"	"40"	619	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"41 years"	"41"	687	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"42 years"	"42"	836	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"43 years"	"43"	912	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"44 years"	"44"	1087	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"45 years"	"45"	1193	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"46 years"	"46"	1233	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"47 years"	"47"	1299	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"48 years"	"48"	1437	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"49 years"	"49"	1586	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"50 years"	"50"	1651	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"51 years"	"51"	1800	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"52 years"	"52"	1790	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"53 years"	"53"	1930	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"54 years"	"54"	2033	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"55 years"	"55"	2099	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"56 years"	"56"	2249	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"57 years"	"57"	2329	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"58 years"	"58"	2415	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"59 years"	"59"	2784	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"60 years"	"60"	2687	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"61 years"	"61"	2371	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"62 years"	"62"	2660	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"63 years"	"63"	2938	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"64 years"	"64"	3075	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"65 years"	"65"	2986	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"66 years"	"66"	3123	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"67 years"	"67"	3119	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"68 years"	"68"	3243	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"69 years"	"69"	3403	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"70 years"	"70"	3477	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"71 years"	"71"	3775	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"72 years"	"72"	3957	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"73 years"	"73"	4023	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"74 years"	"74"	4385	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"75 years"	"75"	4550	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"76 years"	"76"	5264	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"77 years"	"77"	5294	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"78 years"	"78"	5586	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"79 years"	"79"	6059	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"80 years"	"80"	6376	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"81 years"	"81"	6537	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"82 years"	"82"	6933	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"83 years"	"83"	7038	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"84 years"	"84"	7134	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"85 years"	"85"	7549	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"86 years"	"86"	7128	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"87 years"	"87"	6615	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"88 years"	"88"	6453	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"89 years"	"89"	5920	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"90 years"	"90"	5423	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"91 years"	"91"	5270	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"92 years"	"92"	4498	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"93 years"	"93"	4008	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	"94 years"	"94"	3536	Not Applicable	Not Applicable
