"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2022"	"2022/01"	"< 1 year"	"0"	1619	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"1 year"	"1"	129	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"2 years"	"2"	70	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"3 years"	"3"	54	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"4 years"	"4"	44	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"5 years"	"5"	44	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"6 years"	"6"	47	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"7 years"	"7"	34	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"8 years"	"8"	30	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"9 years"	"9"	27	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"10 years"	"10"	37	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"11 years"	"11"	43	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"12 years"	"12"	53	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"13 years"	"13"	62	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"14 years"	"14"	91	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"15 years"	"15"	112	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"16 years"	"16"	149	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"17 years"	"17"	196	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"18 years"	"18"	235	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"19 years"	"19"	269	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"20 years"	"20"	337	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"21 years"	"21"	381	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"22 years"	"22"	402	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"23 years"	"23"	406	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"24 years"	"24"	456	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"25 years"	"25"	474	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"26 years"	"26"	511	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"27 years"	"27"	578	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"28 years"	"28"	598	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"29 years"	"29"	648	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"30 years"	"30"	744	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"31 years"	"31"	759	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"32 years"	"32"	814	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"33 years"	"33"	878	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"34 years"	"34"	859	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"35 years"	"35"	864	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"36 years"	"36"	935	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"37 years"	"37"	981	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"38 years"	"38"	1005	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"39 years"	"39"	1074	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"40 years"	"40"	1138	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"41 years"	"41"	1231	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"42 years"	"42"	1268	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"43 years"	"43"	1275	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"44 years"	"44"	1376	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"45 years"	"45"	1359	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"46 years"	"46"	1471	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"47 years"	"47"	1565	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"48 years"	"48"	1644	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"49 years"	"49"	1861	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"50 years"	"50"	2031	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"51 years"	"51"	2307	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"52 years"	"52"	2438	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"53 years"	"53"	2541	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"54 years"	"54"	2796	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"55 years"	"55"	3143	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"56 years"	"56"	3392	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"57 years"	"57"	3843	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"58 years"	"58"	4296	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"59 years"	"59"	4521	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"60 years"	"60"	4904	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"61 years"	"61"	5182	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"62 years"	"62"	5513	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"63 years"	"63"	5903	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"64 years"	"64"	6401	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"65 years"	"65"	6500	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"66 years"	"66"	6500	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"67 years"	"67"	6625	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"68 years"	"68"	6946	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"69 years"	"69"	7281	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"70 years"	"70"	7429	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"71 years"	"71"	7483	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"72 years"	"72"	8112	Not Applicable	Not Applicable
	"Jan., 2022"	"2022/01"	"73 years"	"73"	8266	Not Applicable	Not Applicable
