"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2000"	"2000/01"	"< 1 year"	"0"	2267	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"1 year"	"1"	172	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"2 years"	"2"	116	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"3 years"	"3"	86	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"4 years"	"4"	86	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"5 years"	"5"	71	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"6 years"	"6"	52	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"7 years"	"7"	45	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"8 years"	"8"	54	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"9 years"	"9"	57	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"10 years"	"10"	53	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"11 years"	"11"	56	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"12 years"	"12"	64	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"13 years"	"13"	83	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"14 years"	"14"	88	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"15 years"	"15"	121	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"16 years"	"16"	169	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"17 years"	"17"	207	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"18 years"	"18"	281	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"19 years"	"19"	314	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"20 years"	"20"	293	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"21 years"	"21"	308	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"22 years"	"22"	274	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"23 years"	"23"	270	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"24 years"	"24"	247	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"25 years"	"25"	253	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"26 years"	"26"	302	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"27 years"	"27"	299	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"28 years"	"28"	335	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"29 years"	"29"	365	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"30 years"	"30"	339	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"31 years"	"31"	373	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"32 years"	"32"	379	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"33 years"	"33"	402	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"34 years"	"34"	452	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"35 years"	"35"	532	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"36 years"	"36"	605	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"37 years"	"37"	620	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"38 years"	"38"	645	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"39 years"	"39"	709	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"40 years"	"40"	807	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"41 years"	"41"	900	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"42 years"	"42"	932	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"43 years"	"43"	999	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"44 years"	"44"	1050	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"45 years"	"45"	1138	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"46 years"	"46"	1150	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"47 years"	"47"	1269	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"48 years"	"48"	1265	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"49 years"	"49"	1367	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"50 years"	"50"	1443	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"51 years"	"51"	1498	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"52 years"	"52"	1708	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"53 years"	"53"	1774	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"54 years"	"54"	1534	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"55 years"	"55"	1747	Not Applicable	Not Applicable
