"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2000"	"2000/01"	"< 1 year"	"0"	2383	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"1 year"	"1"	179	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"2 years"	"2"	121	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"3 years"	"3"	88	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"4 years"	"4"	89	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"5 years"	"5"	71	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"6 years"	"6"	55	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"7 years"	"7"	45	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"8 years"	"8"	57	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"9 years"	"9"	62	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"10 years"	"10"	54	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"11 years"	"11"	56	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"12 years"	"12"	67	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"13 years"	"13"	83	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"14 years"	"14"	89	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"15 years"	"15"	122	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"16 years"	"16"	176	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"17 years"	"17"	211	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"18 years"	"18"	289	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"19 years"	"19"	331	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"20 years"	"20"	302	Not Applicable	Not Applicable
	"Jan., 2000"	"2000/01"	"21 years"	"21"	317	Not Applicable	Not Applicable
