"Notes"	"State"	"State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 1999"	"1999/01"	333	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 1999"	"1999/02"	279	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 1999"	"1999/03"	366	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 1999"	"1999/04"	300	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 1999"	"1999/05"	284	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 1999"	"1999/06"	294	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 1999"	"1999/07"	255	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 1999"	"1999/08"	250	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 1999"	"1999/09"	251	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 1999"	"1999/10"	260	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 1999"	"1999/11"	281	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 1999"	"1999/12"	347	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2000"	"2000/01"	449	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2000"	"2000/02"	348	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2000"	"2000/03"	296	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2000"	"2000/04"	263	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2000"	"2000/05"	289	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2000"	"2000/06"	259	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2000"	"2000/07"	267	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2000"	"2000/08"	297	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2000"	"2000/09"	285	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2000"	"2000/10"	328	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2000"	"2000/11"	260	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2000"	"2000/12"	351	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2001"	"2001/01"	386	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2001"	"2001/02"	300	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2001"	"2001/03"	338	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2001"	"2001/04"	310	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2001"	"2001/05"	308	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2001"	"2001/06"	278	Not Applicable	Not Applicable
