"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	120	15523	773.0
	"1999"	"1999"	"1 year"	"1"	Suppressed	15595	Suppressed
	"1999"	"1999"	"2 years"	"2"	Suppressed	15566	Suppressed
	"1999"	"1999"	"3 years"	"3"	Suppressed	16036	Suppressed
	"1999"	"1999"	"4 years"	"4"	Suppressed	17025	Suppressed
	"1999"	"1999"	"5 years"	"5"	Suppressed	17126	Suppressed
	"1999"	"1999"	"6 years"	"6"	Suppressed	17406	Suppressed
	"1999"	"1999"	"7 years"	"7"	Suppressed	17489	Suppressed
	"1999"	"1999"	"8 years"	"8"	0	17507	Unreliable
	"1999"	"1999"	"9 years"	"9"	Suppressed	17463	Suppressed
	"1999"	"1999"	"10 years"	"10"	Suppressed	17057	Suppressed
	"1999"	"1999"	"11 years"	"11"	0	16173	Unreliable
	"1999"	"1999"	"12 years"	"12"	Suppressed	16551	Suppressed
	"1999"	"1999"	"13 years"	"13"	Suppressed	16457	Suppressed
	"1999"	"1999"	"14 years"	"14"	Suppressed	16547	Suppressed
	"1999"	"1999"	"15 years"	"15"	Suppressed	16288	Suppressed
	"1999"	"1999"	"16 years"	"16"	Suppressed	17194	Suppressed
	"1999"	"1999"	"17 years"	"17"	Suppressed	16677	Suppressed
	"1999"	"1999"	"18 years"	"18"	Suppressed	15272	Suppressed
	"1999"	"1999"	"19 years"	"19"	12	16098	Unreliable
	"1999"	"1999"	"20 years"	"20"	Suppressed	16746	Suppressed
	"1999"	"1999"	"21 years"	"21"	11	16827	Unreliable
	"1999"	"1999"	"22 years"	"22"	Suppressed	16764	Suppressed
	"1999"	"1999"	"23 years"	"23"	15	15989	Unreliable
	"1999"	"1999"	"24 years"	"24"	Suppressed	16389	Suppressed
	"1999"	"1999"	"25 years"	"25"	Suppressed	16295	Suppressed
	"1999"	"1999"	"26 years"	"26"	11	15957	Unreliable
	"1999"	"1999"	"27 years"	"27"	14	15535	Unreliable
	"1999"	"1999"	"28 years"	"28"	10	16753	Unreliable
	"1999"	"1999"	"29 years"	"29"	19	18983	Unreliable
	"1999"	"1999"	"30 years"	"30"	10	18918	Unreliable
	"1999"	"1999"	"31 years"	"31"	22	17230	127.7
	"1999"	"1999"	"32 years"	"32"	18	17809	Unreliable
	"1999"	"1999"	"33 years"	"33"	22	17868	123.1
	"1999"	"1999"	"34 years"	"34"	22	18836	116.8
	"1999"	"1999"	"35 years"	"35"	26	19746	131.7
	"1999"	"1999"	"36 years"	"36"	21	19274	109.0
	"1999"	"1999"	"37 years"	"37"	20	19430	102.9
	"1999"	"1999"	"38 years"	"38"	28	19403	144.3
	"1999"	"1999"	"39 years"	"39"	30	19432	154.4
	"1999"	"1999"	"40 years"	"40"	31	19934	155.5
	"1999"	"1999"	"41 years"	"41"	32	18896	169.3
	"1999"	"1999"	"42 years"	"42"	38	19190	198.0
	"1999"	"1999"	"43 years"	"43"	41	18958	216.3
	"1999"	"1999"	"44 years"	"44"	49	18745	261.4
	"1999"	"1999"	"45 years"	"45"	44	18690	235.4
	"1999"	"1999"	"46 years"	"46"	44	17998	244.5
	"1999"	"1999"	"47 years"	"47"	66	17929	368.1
	"1999"	"1999"	"48 years"	"48"	51	17309	294.6
	"1999"	"1999"	"49 years"	"49"	59	17401	339.1
	"1999"	"1999"	"50 years"	"50"	68	17316	392.7
	"1999"	"1999"	"51 years"	"51"	65	16271	399.5
	"1999"	"1999"	"52 years"	"52"	64	17336	369.2
	"1999"	"1999"	"53 years"	"53"	59	12715	464.0
	"1999"	"1999"	"54 years"	"54"	58	14292	405.8
	"1999"	"1999"	"55 years"	"55"	58	13461	430.9
	"1999"	"1999"	"56 years"	"56"	83	13250	626.4
	"1999"	"1999"	"57 years"	"57"	69	10789	639.5
	"1999"	"1999"	"58 years"	"58"	74	10467	707.0
	"1999"	"1999"	"59 years"	"59"	89	9967	892.9
	"1999"	"1999"	"60 years"	"60"	84	9876	850.5
	"1999"	"1999"	"61 years"	"61"	101	9224	1095.0
	"1999"	"1999"	"62 years"	"62"	95	8935	1063.2
	"1999"	"1999"	"63 years"	"63"	96	8850	1084.7
	"1999"	"1999"	"64 years"	"64"	105	8823	1190.1
	"1999"	"1999"	"65 years"	"65"	105	8408	1248.8
	"1999"	"1999"	"66 years"	"66"	106	8342	1270.7
	"1999"	"1999"	"67 years"	"67"	131	8775	1492.9
	"1999"	"1999"	"68 years"	"68"	123	8604	1429.6
	"1999"	"1999"	"69 years"	"69"	155	8881	1745.3
	"1999"	"1999"	"70 years"	"70"	138	8799	1568.4
	"1999"	"1999"	"71 years"	"71"	177	8701	2034.2
	"1999"	"1999"	"72 years"	"72"	213	8517	2500.9
	"1999"	"1999"	"73 years"	"73"	202	8263	2444.6
	"1999"	"1999"	"74 years"	"74"	229	8172	2802.3
	"1999"	"1999"	"75 years"	"75"	217	8251	2630.0
	"1999"	"1999"	"76 years"	"76"	232	7171	3235.3
	"1999"	"1999"	"77 years"	"77"	210	7159	2933.4
	"1999"	"1999"	"78 years"	"78"	272	6342	4288.9
	"1999"	"1999"	"79 years"	"79"	252	5633	4473.6
	"1999"	"1999"	"80 years"	"80"	250	5378	4648.6
	"1999"	"1999"	"81 years"	"81"	265	4502	5886.3
	"1999"	"1999"	"82 years"	"82"	261	4245	6148.4
	"1999"	"1999"	"83 years"	"83"	228	3893	5856.7
	"1999"	"1999"	"84 years"	"84"	226	3500	6457.1
	"1999"	"1999"	"85 years"	"85"	249	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	222	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	223	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	189	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	180	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	187	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	165	Not Applicable	Not Applicable
