"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	459	65920	696.3
	"1999"	"1999"	"1 year"	"1"	42	64311	65.3
	"1999"	"1999"	"2 years"	"2"	24	65892	36.4
	"1999"	"1999"	"3 years"	"3"	18	68836	Unreliable
	"1999"	"1999"	"4 years"	"4"	26	70865	36.7
	"1999"	"1999"	"5 years"	"5"	11	72889	Unreliable
	"1999"	"1999"	"6 years"	"6"	16	73998	Unreliable
	"1999"	"1999"	"7 years"	"7"	11	76828	Unreliable
	"1999"	"1999"	"8 years"	"8"	12	77330	Unreliable
	"1999"	"1999"	"9 years"	"9"	13	82085	Unreliable
	"1999"	"1999"	"10 years"	"10"	Suppressed	80471	Suppressed
	"1999"	"1999"	"11 years"	"11"	13	79301	Unreliable
	"1999"	"1999"	"12 years"	"12"	20	80427	24.9
	"1999"	"1999"	"13 years"	"13"	21	81592	25.7
	"1999"	"1999"	"14 years"	"14"	21	82479	25.5
	"1999"	"1999"	"15 years"	"15"	33	80789	40.8
	"1999"	"1999"	"16 years"	"16"	42	81443	51.6
	"1999"	"1999"	"17 years"	"17"	45	81563	55.2
	"1999"	"1999"	"18 years"	"18"	72	80322	89.6
	"1999"	"1999"	"19 years"	"19"	64	82950	77.2
	"1999"	"1999"	"20 years"	"20"	61	77990	78.2
	"1999"	"1999"	"21 years"	"21"	73	73332	99.5
	"1999"	"1999"	"22 years"	"22"	67	69777	96.0
	"1999"	"1999"	"23 years"	"23"	48	65057	73.8
	"1999"	"1999"	"24 years"	"24"	64	64642	99.0
	"1999"	"1999"	"25 years"	"25"	43	63662	67.5
	"1999"	"1999"	"26 years"	"26"	51	62108	82.1
	"1999"	"1999"	"27 years"	"27"	57	67145	84.9
	"1999"	"1999"	"28 years"	"28"	55	73110	75.2
	"1999"	"1999"	"29 years"	"29"	43	73077	58.8
	"1999"	"1999"	"30 years"	"30"	56	73585	76.1
	"1999"	"1999"	"31 years"	"31"	41	70765	57.9
	"1999"	"1999"	"32 years"	"32"	71	73429	96.7
	"1999"	"1999"	"33 years"	"33"	70	75074	93.2
	"1999"	"1999"	"34 years"	"34"	87	81385	106.9
	"1999"	"1999"	"35 years"	"35"	83	85853	96.7
	"1999"	"1999"	"36 years"	"36"	95	86140	110.3
	"1999"	"1999"	"37 years"	"37"	97	89055	108.9
	"1999"	"1999"	"38 years"	"38"	101	87938	114.9
	"1999"	"1999"	"39 years"	"39"	139	92035	151.0
	"1999"	"1999"	"40 years"	"40"	118	91277	129.3
	"1999"	"1999"	"41 years"	"41"	134	88389	151.6
	"1999"	"1999"	"42 years"	"42"	146	88536	164.9
	"1999"	"1999"	"43 years"	"43"	168	83431	201.4
	"1999"	"1999"	"44 years"	"44"	177	84318	209.9
	"1999"	"1999"	"45 years"	"45"	186	83846	221.8
	"1999"	"1999"	"46 years"	"46"	192	79259	242.2
	"1999"	"1999"	"47 years"	"47"	222	78712	282.0
	"1999"	"1999"	"48 years"	"48"	209	73815	283.1
	"1999"	"1999"	"49 years"	"49"	231	73833	312.9
	"1999"	"1999"	"50 years"	"50"	251	72178	347.8
	"1999"	"1999"	"51 years"	"51"	251	68969	363.9
	"1999"	"1999"	"52 years"	"52"	282	73220	385.1
	"1999"	"1999"	"53 years"	"53"	250	51640	484.1
	"1999"	"1999"	"54 years"	"54"	291	54346	535.5
	"1999"	"1999"	"55 years"	"55"	325	53643	605.9
	"1999"	"1999"	"56 years"	"56"	311	55257	562.8
	"1999"	"1999"	"57 years"	"57"	339	48603	697.5
	"1999"	"1999"	"58 years"	"58"	377	45140	835.2
	"1999"	"1999"	"59 years"	"59"	376	43644	861.5
	"1999"	"1999"	"60 years"	"60"	447	43460	1028.5
	"1999"	"1999"	"61 years"	"61"	404	42006	961.8
	"1999"	"1999"	"62 years"	"62"	416	39795	1045.4
	"1999"	"1999"	"63 years"	"63"	474	39370	1204.0
	"1999"	"1999"	"64 years"	"64"	540	39336	1372.8
	"1999"	"1999"	"65 years"	"65"	526	35713	1472.9
	"1999"	"1999"	"66 years"	"66"	606	35928	1686.7
	"1999"	"1999"	"67 years"	"67"	632	36643	1724.7
	"1999"	"1999"	"68 years"	"68"	793	37083	2138.4
	"1999"	"1999"	"69 years"	"69"	773	37322	2071.2
	"1999"	"1999"	"70 years"	"70"	828	36461	2270.9
	"1999"	"1999"	"71 years"	"71"	982	35914	2734.3
	"1999"	"1999"	"72 years"	"72"	1011	34481	2932.0
	"1999"	"1999"	"73 years"	"73"	1055	33927	3109.6
	"1999"	"1999"	"74 years"	"74"	1138	33067	3441.5
	"1999"	"1999"	"75 years"	"75"	1204	32076	3753.6
	"1999"	"1999"	"76 years"	"76"	1169	30289	3859.5
	"1999"	"1999"	"77 years"	"77"	1292	30043	4300.5
	"1999"	"1999"	"78 years"	"78"	1315	27998	4696.8
	"1999"	"1999"	"79 years"	"79"	1400	25378	5516.6
	"1999"	"1999"	"80 years"	"80"	1431	23814	6009.1
	"1999"	"1999"	"81 years"	"81"	1539	22247	6917.8
	"1999"	"1999"	"82 years"	"82"	1521	21279	7147.9
	"1999"	"1999"	"83 years"	"83"	1561	19439	8030.2
	"1999"	"1999"	"84 years"	"84"	1638	17925	9138.1
	"1999"	"1999"	"85 years"	"85"	1558	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	1514	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	1473	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	1393	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	1315	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	1231	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	1146	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	1036	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	891	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	761	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	640	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	501	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	389	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	264	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	216	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	440	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"0"	457	67474	677.3
	"2000"	"2000"	"1 year"	"1"	31	68283	45.4
	"2000"	"2000"	"2 years"	"2"	19	67582	Unreliable
	"2000"	"2000"	"3 years"	"3"	14	68660	Unreliable
	"2000"	"2000"	"4 years"	"4"	Suppressed	70341	Suppressed
	"2000"	"2000"	"5 years"	"5"	14	71997	Unreliable
	"2000"	"2000"	"6 years"	"6"	16	73451	Unreliable
	"2000"	"2000"	"7 years"	"7"	14	76085	Unreliable
	"2000"	"2000"	"8 years"	"8"	14	77644	Unreliable
	"2000"	"2000"	"9 years"	"9"	13	80307	Unreliable
	"2000"	"2000"	"10 years"	"10"	14	81147	Unreliable
	"2000"	"2000"	"11 years"	"11"	Suppressed	79410	Suppressed
	"2000"	"2000"	"12 years"	"12"	Suppressed	79853	Suppressed
	"2000"	"2000"	"13 years"	"13"	20	80443	24.9
	"2000"	"2000"	"14 years"	"14"	24	82221	29.2
	"2000"	"2000"	"15 years"	"15"	34	82168	41.4
	"2000"	"2000"	"16 years"	"16"	51	80330	63.5
	"2000"	"2000"	"17 years"	"17"	56	81360	68.8
	"2000"	"2000"	"18 years"	"18"	66	80885	81.6
	"2000"	"2000"	"19 years"	"19"	62	82452	75.2
	"2000"	"2000"	"20 years"	"20"	64	80549	79.5
	"2000"	"2000"	"21 years"	"21"	74	74769	99.0
	"2000"	"2000"	"22 years"	"22"	50	71026	70.4
	"2000"	"2000"	"23 years"	"23"	55	66692	82.5
	"2000"	"2000"	"24 years"	"24"	56	64256	87.2
	"2000"	"2000"	"25 years"	"25"	55	65532	83.9
	"2000"	"2000"	"26 years"	"26"	39	61790	63.1
	"2000"	"2000"	"27 years"	"27"	45	63994	70.3
	"2000"	"2000"	"28 years"	"28"	48	68383	70.2
	"2000"	"2000"	"29 years"	"29"	52	74214	70.1
	"2000"	"2000"	"30 years"	"30"	44	74694	58.9
	"2000"	"2000"	"31 years"	"31"	71	71394	99.4
	"2000"	"2000"	"32 years"	"32"	68	72245	94.1
	"2000"	"2000"	"33 years"	"33"	68	75372	90.2
	"2000"	"2000"	"34 years"	"34"	77	78550	98.0
	"2000"	"2000"	"35 years"	"35"	84	83894	100.1
	"2000"	"2000"	"36 years"	"36"	93	85139	109.2
	"2000"	"2000"	"37 years"	"37"	116	86528	134.1
	"2000"	"2000"	"38 years"	"38"	122	88687	137.6
	"2000"	"2000"	"39 years"	"39"	141	91007	154.9
	"2000"	"2000"	"40 years"	"40"	156	91979	169.6
	"2000"	"2000"	"41 years"	"41"	174	88450	196.7
	"2000"	"2000"	"42 years"	"42"	167	89163	187.3
	"2000"	"2000"	"43 years"	"43"	182	86057	211.5
	"2000"	"2000"	"44 years"	"44"	190	84618	224.5
	"2000"	"2000"	"45 years"	"45"	198	85231	232.3
	"2000"	"2000"	"46 years"	"46"	200	80945	247.1
	"2000"	"2000"	"47 years"	"47"	252	79627	316.5
	"2000"	"2000"	"48 years"	"48"	241	78440	307.2
	"2000"	"2000"	"49 years"	"49"	214	73450	291.4
	"2000"	"2000"	"50 years"	"50"	308	73312	420.1
	"2000"	"2000"	"51 years"	"51"	268	69801	383.9
	"2000"	"2000"	"52 years"	"52"	314	70349	446.3
	"2000"	"2000"	"53 years"	"53"	317	68419	463.3
	"2000"	"2000"	"54 years"	"54"	276	52732	523.4
	"2000"	"2000"	"55 years"	"55"	288	52842	545.0
	"2000"	"2000"	"56 years"	"56"	313	52966	590.9
	"2000"	"2000"	"57 years"	"57"	404	54233	744.9
	"2000"	"2000"	"58 years"	"58"	344	48259	712.8
	"2000"	"2000"	"59 years"	"59"	352	44442	792.0
	"2000"	"2000"	"60 years"	"60"	370	42798	864.5
	"2000"	"2000"	"61 years"	"61"	409	42518	961.9
