"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"88 years"	"88"	2010	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	1923	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	1689	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	1598	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	1369	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	1148	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	938	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	780	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	637	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	479	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	352	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	287	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	522	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"0"	733	110298	664.6
	"2000"	"2000"	"1 year"	"1"	37	111308	33.2
	"2000"	"2000"	"2 years"	"2"	30	111529	26.9
	"2000"	"2000"	"3 years"	"3"	12	113708	Unreliable
	"2000"	"2000"	"4 years"	"4"	15	116942	Unreliable
	"2000"	"2000"	"5 years"	"5"	12	117824	Unreliable
	"2000"	"2000"	"6 years"	"6"	14	118948	Unreliable
	"2000"	"2000"	"7 years"	"7"	15	121066	Unreliable
	"2000"	"2000"	"8 years"	"8"	12	121997	Unreliable
	"2000"	"2000"	"9 years"	"9"	15	124694	Unreliable
	"2000"	"2000"	"10 years"	"10"	14	125132	Unreliable
	"2000"	"2000"	"11 years"	"11"	18	120914	Unreliable
	"2000"	"2000"	"12 years"	"12"	16	117890	Unreliable
	"2000"	"2000"	"13 years"	"13"	20	113621	17.6
	"2000"	"2000"	"14 years"	"14"	19	113020	Unreliable
	"2000"	"2000"	"15 years"	"15"	27	109988	24.5
	"2000"	"2000"	"16 years"	"16"	32	108767	29.4
	"2000"	"2000"	"17 years"	"17"	57	109912	51.9
	"2000"	"2000"	"18 years"	"18"	68	101367	67.1
	"2000"	"2000"	"19 years"	"19"	69	95182	72.5
	"2000"	"2000"	"20 years"	"20"	69	96770	71.3
	"2000"	"2000"	"21 years"	"21"	81	94284	85.9
	"2000"	"2000"	"22 years"	"22"	82	95298	86.0
	"2000"	"2000"	"23 years"	"23"	75	96404	77.8
	"2000"	"2000"	"24 years"	"24"	88	97323	90.4
	"2000"	"2000"	"25 years"	"25"	62	101251	61.2
	"2000"	"2000"	"26 years"	"26"	87	100341	86.7
	"2000"	"2000"	"27 years"	"27"	98	106183	92.3
	"2000"	"2000"	"28 years"	"28"	99	113185	87.5
	"2000"	"2000"	"29 years"	"29"	100	123957	80.7
	"2000"	"2000"	"30 years"	"30"	132	129140	102.2
	"2000"	"2000"	"31 years"	"31"	115	122840	93.6
	"2000"	"2000"	"32 years"	"32"	134	125632	106.7
	"2000"	"2000"	"33 years"	"33"	156	129547	120.4
	"2000"	"2000"	"34 years"	"34"	175	136964	127.8
	"2000"	"2000"	"35 years"	"35"	167	146431	114.0
	"2000"	"2000"	"36 years"	"36"	213	145180	146.7
	"2000"	"2000"	"37 years"	"37"	246	144476	170.3
	"2000"	"2000"	"38 years"	"38"	224	145313	154.2
	"2000"	"2000"	"39 years"	"39"	277	146524	189.0
	"2000"	"2000"	"40 years"	"40"	305	149653	203.8
	"2000"	"2000"	"41 years"	"41"	311	142432	218.3
	"2000"	"2000"	"42 years"	"42"	292	143230	203.9
	"2000"	"2000"	"43 years"	"43"	327	137853	237.2
	"2000"	"2000"	"44 years"	"44"	331	134014	247.0
	"2000"	"2000"	"45 years"	"45"	402	133585	300.9
	"2000"	"2000"	"46 years"	"46"	353	124178	284.3
	"2000"	"2000"	"47 years"	"47"	396	121963	324.7
	"2000"	"2000"	"48 years"	"48"	442	117155	377.3
	"2000"	"2000"	"49 years"	"49"	445	114476	388.7
	"2000"	"2000"	"50 years"	"50"	433	116607	371.3
	"2000"	"2000"	"51 years"	"51"	522	109894	475.0
	"2000"	"2000"	"52 years"	"52"	535	115695	462.4
	"2000"	"2000"	"53 years"	"53"	577	115282	500.5
	"2000"	"2000"	"54 years"	"54"	543	90063	602.9
	"2000"	"2000"	"55 years"	"55"	523	88752	589.3
	"2000"	"2000"	"56 years"	"56"	606	88596	684.0
	"2000"	"2000"	"57 years"	"57"	688	93271	737.6
	"2000"	"2000"	"58 years"	"58"	673	79898	842.3
	"2000"	"2000"	"59 years"	"59"	602	72821	826.7
	"2000"	"2000"	"60 years"	"60"	701	71820	976.1
	"2000"	"2000"	"61 years"	"61"	762	68108	1118.8
	"2000"	"2000"	"62 years"	"62"	771	66693	1156.0
	"2000"	"2000"	"63 years"	"63"	758	62599	1210.9
	"2000"	"2000"	"64 years"	"64"	843	61426	1372.4
	"2000"	"2000"	"65 years"	"65"	953	60424	1577.2
	"2000"	"2000"	"66 years"	"66"	930	56798	1637.4
	"2000"	"2000"	"67 years"	"67"	1136	58596	1938.7
	"2000"	"2000"	"68 years"	"68"	1149	58274	1971.7
	"2000"	"2000"	"69 years"	"69"	1291	59104	2184.3
	"2000"	"2000"	"70 years"	"70"	1347	59329	2270.4
	"2000"	"2000"	"71 years"	"71"	1523	56615	2690.1
	"2000"	"2000"	"72 years"	"72"	1603	57030	2810.8
	"2000"	"2000"	"73 years"	"73"	1690	55231	3059.9
	"2000"	"2000"	"74 years"	"74"	1856	53268	3484.3
	"2000"	"2000"	"75 years"	"75"	1958	53003	3694.1
	"2000"	"2000"	"76 years"	"76"	2044	50075	4081.9
	"2000"	"2000"	"77 years"	"77"	2132	47400	4497.9
	"2000"	"2000"	"78 years"	"78"	2275	46039	4941.5
	"2000"	"2000"	"79 years"	"79"	2350	43614	5388.2
	"2000"	"2000"	"80 years"	"80"	2426	40007	6063.9
	"2000"	"2000"	"81 years"	"81"	2364	34607	6831.0
	"2000"	"2000"	"82 years"	"82"	2437	32643	7465.6
	"2000"	"2000"	"83 years"	"83"	2379	29110	8172.4
	"2000"	"2000"	"84 years"	"84"	2378	25970	9156.7
	"2000"	"2000"	"85 years"	"85"	2397	Not Applicable	Not Applicable
	"2000"	"2000"	"86 years"	"86"	2337	Not Applicable	Not Applicable
	"2000"	"2000"	"87 years"	"87"	2224	Not Applicable	Not Applicable
	"2000"	"2000"	"88 years"	"88"	2147	Not Applicable	Not Applicable
	"2000"	"2000"	"89 years"	"89"	1977	Not Applicable	Not Applicable
	"2000"	"2000"	"90 years"	"90"	1755	Not Applicable	Not Applicable
	"2000"	"2000"	"91 years"	"91"	1622	Not Applicable	Not Applicable
	"2000"	"2000"	"92 years"	"92"	1511	Not Applicable	Not Applicable
	"2000"	"2000"	"93 years"	"93"	1253	Not Applicable	Not Applicable
	"2000"	"2000"	"94 years"	"94"	1026	Not Applicable	Not Applicable
	"2000"	"2000"	"95 years"	"95"	818	Not Applicable	Not Applicable
	"2000"	"2000"	"96 years"	"96"	666	Not Applicable	Not Applicable
	"2000"	"2000"	"97 years"	"97"	513	Not Applicable	Not Applicable
	"2000"	"2000"	"98 years"	"98"	400	Not Applicable	Not Applicable
	"2000"	"2000"	"99 years"	"99"	285	Not Applicable	Not Applicable
	"2000"	"2000"	"100+ years"	"100"	575	Not Applicable	Not Applicable
	"2000"	"2000"	"Not Stated"	"NS"	17	Not Applicable	Not Applicable
	"2001"	"2001"	"< 1 year"	"0"	747	111847	667.9
	"2001"	"2001"	"1 year"	"1"	26	112342	23.1
	"2001"	"2001"	"2 years"	"2"	33	111217	29.7
	"2001"	"2001"	"3 years"	"3"	16	112189	Unreliable
	"2001"	"2001"	"4 years"	"4"	19	114196	Unreliable
	"2001"	"2001"	"5 years"	"5"	13	116959	Unreliable
	"2001"	"2001"	"6 years"	"6"	13	118071	Unreliable
	"2001"	"2001"	"7 years"	"7"	12	118504	Unreliable
	"2001"	"2001"	"8 years"	"8"	10	120703	Unreliable
	"2001"	"2001"	"9 years"	"9"	16	122200	Unreliable
	"2001"	"2001"	"10 years"	"10"	17	124720	Unreliable
	"2001"	"2001"	"11 years"	"11"	18	127161	Unreliable
	"2001"	"2001"	"12 years"	"12"	13	122766	Unreliable
	"2001"	"2001"	"13 years"	"13"	16	118818	Unreliable
	"2001"	"2001"	"14 years"	"14"	18	114776	Unreliable
	"2001"	"2001"	"15 years"	"15"	17	113944	Unreliable
	"2001"	"2001"	"16 years"	"16"	25	112385	22.2
	"2001"	"2001"	"17 years"	"17"	48	110040	43.6
	"2001"	"2001"	"18 years"	"18"	66	105126	62.8
	"2001"	"2001"	"19 years"	"19"	84	95284	88.2
	"2001"	"2001"	"20 years"	"20"	87	96185	90.5
	"2001"	"2001"	"21 years"	"21"	87	99258	87.7
	"2001"	"2001"	"22 years"	"22"	87	96383	90.3
	"2001"	"2001"	"23 years"	"23"	101	98072	103.0
	"2001"	"2001"	"24 years"	"24"	97	100066	96.9
	"2001"	"2001"	"25 years"	"25"	104	101023	102.9
	"2001"	"2001"	"26 years"	"26"	95	102794	92.4
	"2001"	"2001"	"27 years"	"27"	84	102686	81.8
	"2001"	"2001"	"28 years"	"28"	120	106955	112.2
	"2001"	"2001"	"29 years"	"29"	124	114061	108.7
	"2001"	"2001"	"30 years"	"30"	139	124850	111.3
	"2001"	"2001"	"31 years"	"31"	139	130309	106.7
	"2001"	"2001"	"32 years"	"32"	167	125660	132.9
	"2001"	"2001"	"33 years"	"33"	156	126498	123.3
	"2001"	"2001"	"34 years"	"34"	178	130040	136.9
	"2001"	"2001"	"35 years"	"35"	193	136313	141.6
	"2001"	"2001"	"36 years"	"36"	212	144859	146.3
	"2001"	"2001"	"37 years"	"37"	231	145832	158.4
	"2001"	"2001"	"38 years"	"38"	280	144975	193.1
	"2001"	"2001"	"39 years"	"39"	292	145170	201.1
	"2001"	"2001"	"40 years"	"40"	317	146210	216.8
	"2001"	"2001"	"41 years"	"41"	325	149337	217.6
	"2001"	"2001"	"42 years"	"42"	311	143957	216.0
	"2001"	"2001"	"43 years"	"43"	328	142261	230.6
	"2001"	"2001"	"44 years"	"44"	389	139557	278.7
	"2001"	"2001"	"45 years"	"45"	403	133511	301.8
	"2001"	"2001"	"46 years"	"46"	451	132922	339.3
	"2001"	"2001"	"47 years"	"47"	429	125827	340.9
