"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	1627	243244	668.9
	"1999"	"1999"	"1 year"	"1"	99	242069	40.9
	"1999"	"1999"	"2 years"	"2"	61	244707	24.9
	"1999"	"1999"	"3 years"	"3"	76	251625	30.2
	"1999"	"1999"	"4 years"	"4"	52	264514	19.7
	"1999"	"1999"	"5 years"	"5"	43	266561	16.1
	"1999"	"1999"	"6 years"	"6"	32	268311	11.9
	"1999"	"1999"	"7 years"	"7"	36	275434	13.1
	"1999"	"1999"	"8 years"	"8"	45	275690	16.3
	"1999"	"1999"	"9 years"	"9"	36	277345	13.0
	"1999"	"1999"	"10 years"	"10"	33	272228	12.1
	"1999"	"1999"	"11 years"	"11"	46	262919	17.5
	"1999"	"1999"	"12 years"	"12"	37	257873	14.3
	"1999"	"1999"	"13 years"	"13"	56	255156	21.9
	"1999"	"1999"	"14 years"	"14"	59	254716	23.2
	"1999"	"1999"	"15 years"	"15"	73	249098	29.3
	"1999"	"1999"	"16 years"	"16"	97	255432	38.0
	"1999"	"1999"	"17 years"	"17"	153	255665	59.8
	"1999"	"1999"	"18 years"	"18"	163	252848	64.5
	"1999"	"1999"	"19 years"	"19"	176	262487	67.1
	"1999"	"1999"	"20 years"	"20"	180	255926	70.3
	"1999"	"1999"	"21 years"	"21"	182	247192	73.6
	"1999"	"1999"	"22 years"	"22"	158	245325	64.4
	"1999"	"1999"	"23 years"	"23"	176	237304	74.2
	"1999"	"1999"	"24 years"	"24"	177	244421	72.4
	"1999"	"1999"	"25 years"	"25"	164	245839	66.7
	"1999"	"1999"	"26 years"	"26"	170	246205	69.0
	"1999"	"1999"	"27 years"	"27"	223	267361	83.4
	"1999"	"1999"	"28 years"	"28"	223	285842	78.0
	"1999"	"1999"	"29 years"	"29"	226	291087	77.6
	"1999"	"1999"	"30 years"	"30"	229	297710	76.9
	"1999"	"1999"	"31 years"	"31"	249	277413	89.8
	"1999"	"1999"	"32 years"	"32"	332	288642	115.0
	"1999"	"1999"	"33 years"	"33"	351	294393	119.2
	"1999"	"1999"	"34 years"	"34"	359	310440	115.6
	"1999"	"1999"	"35 years"	"35"	344	323604	106.3
	"1999"	"1999"	"36 years"	"36"	434	315257	137.7
	"1999"	"1999"	"37 years"	"37"	467	313164	149.1
	"1999"	"1999"	"38 years"	"38"	522	313572	166.5
	"1999"	"1999"	"39 years"	"39"	538	311838	172.5
	"1999"	"1999"	"40 years"	"40"	598	319383	187.2
	"1999"	"1999"	"41 years"	"41"	650	298549	217.7
	"1999"	"1999"	"42 years"	"42"	659	298595	220.7
	"1999"	"1999"	"43 years"	"43"	739	292742	252.4
	"1999"	"1999"	"44 years"	"44"	766	283120	270.6
	"1999"	"1999"	"45 years"	"45"	820	279624	293.3
	"1999"	"1999"	"46 years"	"46"	886	264473	335.0
	"1999"	"1999"	"47 years"	"47"	874	263239	332.0
	"1999"	"1999"	"48 years"	"48"	938	257507	364.3
	"1999"	"1999"	"49 years"	"49"	992	256002	387.5
	"1999"	"1999"	"50 years"	"50"	1119	258469	432.9
	"1999"	"1999"	"51 years"	"51"	1112	246574	451.0
	"1999"	"1999"	"52 years"	"52"	1263	265306	476.1
	"1999"	"1999"	"53 years"	"53"	1138	199188	571.3
