"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2013"	"2013/01"	"< 1 year"	"0"	1946	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"1 year"	"1"	128	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"2 years"	"2"	81	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"3 years"	"3"	63	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"4 years"	"4"	54	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"5 years"	"5"	58	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"6 years"	"6"	48	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"7 years"	"7"	40	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"8 years"	"8"	44	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"9 years"	"9"	45	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"10 years"	"10"	34	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"11 years"	"11"	32	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"12 years"	"12"	52	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"13 years"	"13"	51	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"14 years"	"14"	65	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"15 years"	"15"	79	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"16 years"	"16"	117	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"17 years"	"17"	163	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"18 years"	"18"	181	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"19 years"	"19"	232	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"20 years"	"20"	278	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"21 years"	"21"	331	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"22 years"	"22"	321	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"23 years"	"23"	326	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"24 years"	"24"	340	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"25 years"	"25"	319	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"26 years"	"26"	315	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"27 years"	"27"	369	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"28 years"	"28"	334	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"29 years"	"29"	358	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"30 years"	"30"	389	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"31 years"	"31"	357	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"32 years"	"32"	404	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"33 years"	"33"	405	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"34 years"	"34"	430	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"35 years"	"35"	436	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"36 years"	"36"	414	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"37 years"	"37"	440	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"38 years"	"38"	484	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"39 years"	"39"	512	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"40 years"	"40"	610	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"41 years"	"41"	679	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"42 years"	"42"	785	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"43 years"	"43"	824	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"44 years"	"44"	852	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"45 years"	"45"	912	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"46 years"	"46"	1080	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"47 years"	"47"	1184	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"48 years"	"48"	1398	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"49 years"	"49"	1601	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"50 years"	"50"	1709	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"51 years"	"51"	1805	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"52 years"	"52"	2045	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"53 years"	"53"	2130	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"54 years"	"54"	2320	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"55 years"	"55"	2548	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"56 years"	"56"	2701	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"57 years"	"57"	2691	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"58 years"	"58"	2906	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"59 years"	"59"	3037	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"60 years"	"60"	3197	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"61 years"	"61"	3164	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"62 years"	"62"	3263	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"63 years"	"63"	3533	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"64 years"	"64"	3707	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"65 years"	"65"	4093	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"66 years"	"66"	4082	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"67 years"	"67"	3489	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"68 years"	"68"	3827	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"69 years"	"69"	4356	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"70 years"	"70"	4610	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"71 years"	"71"	4420	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"72 years"	"72"	4394	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"73 years"	"73"	4551	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"74 years"	"74"	4857	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"75 years"	"75"	4996	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"76 years"	"76"	5224	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	"77 years"	"77"	5550	Not Applicable	Not Applicable
