"Notes"	"Month"	"Month Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Jan., 2006"	"2006/01"	"< 1 year"	"0"	2258	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"1 year"	"1"	167	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"2 years"	"2"	86	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"3 years"	"3"	80	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"4 years"	"4"	58	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"5 years"	"5"	61	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"6 years"	"6"	48	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"7 years"	"7"	41	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"8 years"	"8"	32	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"9 years"	"9"	32	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"10 years"	"10"	44	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"11 years"	"11"	41	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"12 years"	"12"	46	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"13 years"	"13"	72	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"14 years"	"14"	97	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"15 years"	"15"	117	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"16 years"	"16"	159	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"17 years"	"17"	209	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"18 years"	"18"	257	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"19 years"	"19"	290	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"20 years"	"20"	328	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"21 years"	"21"	314	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"22 years"	"22"	296	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"23 years"	"23"	325	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"24 years"	"24"	342	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"25 years"	"25"	330	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	"26 years"	"26"	310	Not Applicable	Not Applicable
