"Notes"	"Month"	"Month Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Jan., 2012"	"2012/01"	"Alabama"	"01"	4236	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Alaska"	"02"	319	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Arizona"	"04"	4290	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Arkansas"	"05"	2703	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"California"	"06"	22070	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Colorado"	"08"	2847	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Connecticut"	"09"	2678	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Delaware"	"10"	739	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"District of Columbia"	"11"	423	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Florida"	"12"	15689	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Georgia"	"13"	6305	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Hawaii"	"15"	898	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Idaho"	"16"	956	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Illinois"	"17"	9121	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Indiana"	"18"	5224	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Iowa"	"19"	2575	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Kansas"	"20"	2279	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Kentucky"	"21"	3861	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Louisiana"	"22"	3650	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Maine"	"23"	1175	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Maryland"	"24"	3996	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Massachusetts"	"25"	4848	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Michigan"	"26"	7747	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Minnesota"	"27"	3593	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Mississippi"	"28"	2517	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Missouri"	"29"	5030	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Montana"	"30"	750	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Nebraska"	"31"	1329	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Nevada"	"32"	1829	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"New Hampshire"	"33"	962	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"New Jersey"	"34"	6422	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"New Mexico"	"35"	1449	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"New York"	"36"	13376	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"North Carolina"	"37"	7217	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"North Dakota"	"38"	503	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Ohio"	"39"	9903	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Oklahoma"	"40"	3181	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Oregon"	"41"	2979	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Pennsylvania"	"42"	11452	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Rhode Island"	"44"	862	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"South Carolina"	"45"	3708	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"South Dakota"	"46"	683	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Tennessee"	"47"	5418	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Texas"	"48"	15291	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Utah"	"49"	1413	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Vermont"	"50"	498	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Virginia"	"51"	5429	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Washington"	"53"	4290	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"West Virginia"	"54"	1952	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Wisconsin"	"55"	4320	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	"Wyoming"	"56"	383	Not Applicable	Not Applicable
"Total"	"Jan., 2012"	"2012/01"			225368	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Alabama"	"01"	4045	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Alaska"	"02"	307	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Arizona"	"04"	4231	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Arkansas"	"05"	2581	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"California"	"06"	20288	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Colorado"	"08"	2809	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Connecticut"	"09"	2461	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Delaware"	"10"	633	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"District of Columbia"	"11"	345	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Florida"	"12"	14440	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Georgia"	"13"	5915	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Hawaii"	"15"	895	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Idaho"	"16"	1022	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Illinois"	"17"	8257	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Indiana"	"18"	4924	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Iowa"	"19"	2338	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Kansas"	"20"	2122	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Kentucky"	"21"	3535	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Louisiana"	"22"	3364	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Maine"	"23"	1047	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Maryland"	"24"	3696	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Massachusetts"	"25"	4471	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Michigan"	"26"	7348	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Minnesota"	"27"	3212	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Mississippi"	"28"	2361	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Missouri"	"29"	4618	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Montana"	"30"	758	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Nebraska"	"31"	1271	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	"Nevada"	"32"	1735	Not Applicable	Not Applicable
